"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","800","5","150",0.5,0.0466666666666666,0.524475524475524,405.5,252.465805127434,640.441626647886,628.042797169719,647.878731348862,234.941626647886,222.542797169719,242.378731348862,259.513112802592,-17.5241784795476,-29.9230079577152,-10.0870737785723,7.04730767515784,574.514790487226,665.013112802592,90.4983223153654
"2","800","5","150",0.5,0.0533333333333333,0.528169014084507,437,226.236934613716,658.125265355421,649.881419263724,671.106661002871,221.125265355421,212.881419263724,234.106661002871,246.64901179391,-5.11166925829519,-13.3555153499925,7.86972638915523,20.412077180194,588.787693421709,683.64901179391,94.8613183722005
"3","800","5","150",0.505,0.0533333333333333,0.533450704225352,353,210.808455025655,554.701892733476,540.360471814734,563.96316143736,201.701892733476,187.360471814734,210.96316143736,228.642218982911,-9.10656229217869,-23.4479832109216,0.154706411704694,17.8337639572555,478.574225891405,581.642218982911,103.067993091506
"4","800","5","150",0.505,0.0466666666666666,0.52972027972028,422,201.785663728546,627.719616787157,620.542193321868,634.99610722171,205.719616787157,198.542193321868,212.99610722171,231.132794074606,3.93395305861176,-3.24347040667774,11.2104434931639,29.34713034606,551.300601300382,653.132794074606,101.832192774224
"5","800","5","150",0.505,0.0416666666666666,0.52695652173913,342,236.516303359642,567.385898666811,563.441012131918,572.374233770562,225.385898666811,221.441012131918,230.374233770562,250.262645700399,-11.1304046928311,-15.0752912277243,-6.14206958908008,13.7463423407571,496.674081898412,592.262645700399,95.5885638019875
"6","800","5","150",0.505,0.0533333333333333,0.533450704225352,397,169.939625859088,577.542133732852,567.946431203173,585.933805616938,180.542133732852,170.946431203173,188.933805616938,191.7515533887,10.6025078737634,1.00680534408477,18.9941797578494,21.8119275296116,484.915635577429,588.7515533887,103.835917811271
"7","800","5","150",0.51,0.0516666666666666,0.537785588752197,368,228.95739633926,588.579876573222,581.755224799753,596.891923259947,220.579876573222,213.755224799753,228.891923259947,245.167878098799,-8.37751976603789,-15.2021715395067,-0.0654730793126532,16.2104817595391,519.32431787496,613.167878098799,93.8435602238393
"8","800","5","150",0.5,0.0566666666666666,0.530035335689046,466,189.274971831001,640.107088970774,632.019160193173,650.044489304194,174.107088970774,166.019160193173,184.044489304194,205.307096183202,-15.1678828602272,-23.2558116378283,-5.2304825268065,16.0321243522013,580.475129075345,671.307096183202,90.8319671078571
"9","800","5","150",0.5,0.0583333333333333,0.530973451327434,476.5,215.585779609038,681.670828712672,667.55189226288,692.425327473832,205.170828712672,191.05189226288,215.925327473832,228.543213350917,-10.4149508963667,-24.5338873461587,0.339547864793843,12.9574337418788,618.896370302985,705.043213350917,86.1468430479325
"10","800","5","150",0.505,0.0466666666666666,0.52972027972028,375,239.135826771597,601.394132739606,594.590419772987,611.47525465833,226.394132739606,219.590419772987,236.47525465833,256.242945653612,-12.7416940319918,-19.5454069986102,-2.66057211326745,17.107118882015,527.689376323369,631.242945653612,103.553569330243
