"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","100","0","100",0.52,0,0.52,392,187.998243142477,531.885149037877,531.885149037877,531.885149037877,139.885149037877,139.885149037877,139.885149037877,142.611887565996,-48.1130941045994,-48.1130941045994,-48.1130941045994,-45.3863555764811,515.772237500386,534.611887565996,18.8396500656099
"2","100","0","100",0.56,0,0.56,360,246.048372427522,562.064236503324,562.064236503324,562.064236503324,202.064236503324,202.064236503324,202.064236503324,204.802209266809,-43.9841359241975,-43.9841359241975,-43.9841359241975,-41.2461631607131,505.063365343941,564.802209266809,59.7388439228676
"3","100","0","100",0.52,0,0.52,384,219.961857500761,554.672642384489,554.672642384489,554.672642384489,170.672642384489,170.672642384489,170.672642384489,189.859242917394,-49.2892151162722,-49.2892151162722,-49.2892151162722,-30.1026145833672,526.597010548227,573.859242917394,47.2622323691666
"4","100","0","100",0.48,0,0.48,400,208.285707275961,597.339718038331,597.339718038331,597.339718038331,197.339718038331,197.339718038331,197.339718038331,229.353509920661,-10.9459892376304,-10.9459892376304,-10.9459892376304,21.0678026446998,553.275120452821,629.353509920661,76.0783894678403
"5","100","0","100",0.48,0,0.48,380,214.373607949249,566.455249502256,566.455249502256,566.455249502256,186.455249502256,186.455249502256,186.455249502256,209.925151784884,-27.9183584469932,-27.9183584469932,-27.9183584469932,-4.44845616436552,524.940703703707,589.925151784884,64.9844480811774
"6","100","0","100",0.52,0,0.52,408,216.528493897561,609.352883169018,609.352883169018,609.352883169018,201.352883169018,201.352883169018,201.352883169018,218.94108371956,-15.1756107285424,-15.1756107285424,-15.1756107285424,2.41258982199946,576.726688154172,626.94108371956,50.2143955653885
"7","100","0","100",0.52,0,0.52,284,215.719908740966,525.906947825888,525.906947825888,525.906947825888,241.906947825888,241.906947825888,241.906947825888,269.458795569389,26.1870390849223,26.1870390849223,26.1870390849223,53.7388868284233,480.640618636646,553.458795569389,72.8181769327431
"8","100","0","100",0.52,0,0.52,400,198.744906436077,617.531450886932,617.531450886932,617.531450886932,217.531450886932,217.531450886932,217.531450886932,229.52744546116,18.7865444508544,18.7865444508544,18.7865444508544,30.7825390250826,539.595632846852,629.52744546116,89.9318126143075
"9","100","0","100",0.52,0,0.52,360,222.86882856846,554.737829274695,554.737829274695,554.737829274695,194.737829274695,194.737829274695,194.737829274695,200.216883443036,-28.1309992937647,-28.1309992937647,-28.1309992937647,-22.6519451254244,491.044832942874,560.216883443036,69.1720505001621
"10","100","0","100",0.52,0,0.52,380,184.172230937618,561.858656212549,561.858656212549,561.858656212549,181.858656212549,181.858656212549,181.858656212549,173.836063182174,-2.31357472506826,-2.31357472506826,-2.31357472506826,-10.3361677554434,482.172833474872,553.836063182174,71.6632297073027
"11","100","0","100",0.52,0,0.52,272,204.026494491886,499.586383585518,499.586383585518,499.586383585518,227.586383585518,227.586383585518,227.586383585518,232.036552519147,23.5598890936315,23.5598890936315,23.5598890936315,28.0100580272607,432.884981499238,504.036552519147,71.1515710199091
"12","100","0","100",0.48,0,0.48,392,185.445668651453,566.588452433096,566.588452433096,566.588452433096,174.588452433096,174.588452433096,174.588452433096,189.81275085806,-10.8572162183577,-10.8572162183577,-10.8572162183577,4.36708220660648,529.955525093945,581.81275085806,51.8572257641154
"13","100","0","100",0.52,0,0.52,372,214.380796470431,565.887210406262,565.887210406262,565.887210406262,193.887210406262,193.887210406262,193.887210406262,201.910362136397,-20.4935860641694,-20.4935860641694,-20.4935860641694,-12.4704343340346,520.501759896701,573.910362136397,53.4086022396956
"14","100","0","100",0.48,0,0.48,524,192.963514477639,660.708437835788,660.708437835788,660.708437835788,136.708437835788,136.708437835788,136.708437835788,165.903401080068,-56.2550766418502,-56.2550766418502,-56.2550766418502,-27.0601133975706,617.97947506703,689.903401080068,71.923926013038
