"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","800","0","150",0.505,0,0.505,295.5,208.449942536714,498.319886622476,498.319886622476,498.319886622476,202.819886622476,202.819886622476,202.819886622476,236.127272503419,-5.63005591423791,-5.63005591423791,-5.63005591423791,27.6773299667045,435.443563127891,531.627272503419,96.1837093755272
"2","800","0","150",0.495,0.005,0.49748743718593,474,209.255192477501,685.586727706862,684.800462519926,686.23021840058,211.586727706862,210.800462519926,212.23021840058,251.570900775511,2.3315352293605,1.54527004242493,2.97502592307876,42.3157082980097,613.842518156882,725.570900775511,111.728382618629
"3","800","0","150",0.505,0.00166666666666671,0.50584307178631,438,187.974481802753,599.84081253417,599.567545363516,600.112335244967,161.84081253417,161.567545363516,162.112335244967,201.958038207076,-26.1336692685832,-26.4069364392373,-25.8621465577864,13.9835564043229,554.844320129524,639.958038207076,85.1137180775527
"4","800","0","150",0.505,0,0.505,423,194.42626468542,600.922865439415,600.922865439415,600.922865439415,177.922865439415,177.922865439415,177.922865439415,212.260254521699,-16.503399246005,-16.503399246005,-16.503399246005,17.833989836279,542.434943530767,635.260254521699,92.8253109909322
"5","800","0","150",0.5,0.00166666666666671,0.500834724540901,471.5,201.499466863995,657.752262577223,656.53049317648,658.975126172872,186.252262577223,185.03049317648,187.475126172872,223.039653057479,-15.2472042867719,-16.4689736875153,-14.024340691123,21.5401861934836,593.202313447484,694.539653057479,101.337339609995
"6","800","0","150",0.505,0,0.505,426,224.187535133396,644.400745952556,644.400745952556,644.400745952556,218.400745952556,218.400745952556,218.400745952556,264.84145251235,-5.78678918084069,-5.78678918084069,-5.78678918084069,40.6539173789538,577.828566866388,690.84145251235,113.012885645962
"7","800","0","150",0.5,0,0.5,396,215.792231032109,580.931720055242,580.931720055242,580.931720055242,184.931720055242,184.931720055242,184.931720055242,221.814517316198,-30.8605109768669,-30.8605109768669,-30.8605109768669,6.02228628408969,520.978508785167,617.814517316198,96.8360085310317
"8","800","0","150",0.505,0,0.505,377.5,215.440615296439,595.951487814712,595.951487814712,595.951487814712,218.451487814712,218.451487814712,218.451487814712,248.292530910648,3.01087251827286,3.01087251827286,3.01087251827286,32.8519156142089,540.284121328296,625.792530910648,85.5084095823518
"9","800","0","150",0.5,0,0.5,444,172.034703838245,617.145102335061,617.145102335061,617.145102335061,173.145102335061,173.145102335061,173.145102335061,218.718872036716,1.11039849681652,1.11039849681652,1.11039849681652,46.6841681984711,552.821798241176,662.718872036716,109.89707379554
"10","800","0","150",0.5,0.00166666666666671,0.500834724540901,467.5,189.478296044384,629.408644004999,629.351815150681,629.465856391675,161.908644004999,161.851815150681,161.965856391675,196.883769244018,-27.5696520393847,-27.626480893703,-27.5124396527084,7.40547319963457,580.520699500949,664.383769244018,83.8630697430698
