"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","200","15","100",0.5,0.173333333333333,0.604838709677419,337,212.185979177574,609.115567816269,587.21924102232,644.828320443628,272.115567816269,250.21924102232,307.828320443628,262.379451706988,59.9295886386954,38.0332618447465,95.6423412660547,50.193472529414,497.92502799124,599.379451706988,101.454423715747
"2","200","15","100",0.48,0.12,0.545454545454545,453,191.618371176152,537.994549743661,526.270191741939,560.651993642629,84.9945497436613,73.2701917419389,107.651993642629,94.8663734394246,-106.62382143249,-118.348179434213,-83.9663775335225,-96.751997736727,522.76124505478,547.866373439425,25.1051283846447
"3","200","15","100",0.48,0.153333333333333,0.566929133858268,419,192.119005800062,649.58507923411,628.259916837631,680.4475441388,230.58507923411,209.259916837631,261.4475441388,234.921123155962,38.4660734340482,17.1409110375693,69.3285383387382,42.8021173558997,564.721082748467,653.921123155962,89.2000404074948
"4","200","15","100",0.5,0.16,0.595238095238095,429,227.502219842437,632.904092682847,608.561200939175,666.248820996991,203.904092682847,179.561200939175,237.248820996991,199.598445947606,-23.59812715959,-47.941018903262,9.74660115455322,-27.903773894831,568.575729125409,628.598445947606,60.0227168221975
"5","200","15","100",0.54,0.153333333333333,0.637795275590551,267,216.876196651666,470.479357617114,455.254040733775,504.930852016356,203.479357617114,188.254040733775,237.930852016356,205.205271613038,-13.3968390345521,-28.6221559178905,21.0546553646901,-11.6709250386283,413.801677202821,472.205271613038,58.4035944102163
"6","200","15","100",0.48,0.153333333333333,0.566929133858268,383,213.864771903275,560.498119685141,538.715258881644,590.39343135868,177.498119685141,155.715258881644,207.39343135868,188.668269356377,-36.366652218134,-58.1495130216309,-6.47134054459559,-25.1965025468982,531.743950858649,571.668269356377,39.9243184977279
"7","200","15","100",0.5,0.16,0.595238095238095,403,229.465343824071,608.569656211166,585.710909689878,648.527165212643,205.569656211166,182.710909689878,245.527165212643,199.972261005231,-23.8956876129055,-46.7544341341934,16.0618213885719,-29.4930828188402,561.145115441761,602.972261005231,41.8271455634701
"8","200","15","100",0.52,0.166666666666667,0.624,325,235.516769907437,535.919448623544,512.16652911582,589.555657933257,210.919448623544,187.16652911582,264.555657933257,211.399259476636,-24.597321283893,-48.3502407916171,29.0388880258199,-24.1175104308012,490.672296023078,536.399259476636,45.7269634535579
"9","200","15","100",0.5,0.146666666666667,0.5859375,425,192.046204764411,621.803317895031,600.125642059653,647.120009243741,196.803317895031,175.125642059653,222.120009243741,182.610266279947,4.7571131306203,-16.9205627047575,30.0738044793303,-9.43593848446332,556.961879397071,607.610266279947,50.648386882876
"10","200","15","100",0.5,0.14,0.581395348837209,365,238.992452966968,606.32380743946,590.535065210608,636.361108472333,241.32380743946,225.535065210608,271.361108472333,246.714876421887,2.33135447249245,-13.4573877563597,32.3686555053655,7.72242345491898,542.416975478336,611.714876421887,69.2979009435508
"11","200","15","100",0.48,0.166666666666667,0.576,409,218.922898330327,611.758153210629,599.90515487133,642.99093453272,202.758153210629,190.90515487133,233.99093453272,223.700938803731,-16.1647451196979,-28.0177434589974,15.0680362023933,4.77804047340436,559.072478518998,632.700938803731,73.628460284733
"12","200","15","100",0.52,0.166666666666667,0.624,397,184.54512072829,568.289822845888,551.151910429269,614.236889421989,171.289822845888,154.151910429269,217.236889421989,173.509872181894,-13.2552978824018,-30.3932102990204,32.6917686936993,-11.0352485463959,523.849206501152,570.509872181894,46.6606656807415
"13","200","15","100",0.48,0.153333333333333,0.566929133858268,385,235.066127692011,632.677319013139,611.645975309256,662.515098026882,247.677319013139,226.645975309256,277.515098026882,255.591924777472,12.611191321128,-8.42015238275465,42.4489703348715,20.5257970854611,563.724543780253,640.591924777472,76.8673809972189
"14","200","15","100",0.48,0.146666666666667,0.5625,423,189.193162828053,596.940222344543,572.181333479052,621.586381114638,173.940222344543,149.181333479052,198.586381114638,167.662224692172,-15.2529404835098,-40.0118293490006,9.39321828658495,-21.5309381358806,527.07992532385,590.662224692172,63.5822993683223
"15","200","15","100",0.52,0.126666666666667,0.595419847328244,335,228.960373762056,548.436982678272,532.077285093238,563.62277088479,213.436982678272,197.077285093238,228.62277088479,207.462383130097,-15.5233910837839,-31.8830886688176,-0.337602877265823,-21.497990631959,487.231111506276,542.462383130097,55.2312716238209
"16","200","15","100",0.48,0.173333333333333,0.580645161290323,467,154.027277265666,667.700820711985,649.786885251195,711.740486499824,200.700820711985,182.786885251195,244.740486499824,208.441235305366,46.6735434463184,28.7596079855284,90.7132092341582,54.4139580396997,580.674895212697,675.441235305366,94.7663400926684
"17","200","15","100",0.52,0.12,0.590909090909091,297,210.679527133905,469.290083740052,458.657544332075,497.871984966815,172.290083740052,161.657544332075,200.871984966815,179.364546233348,-38.3894433938528,-49.0219828018293,-9.80754216708999,-31.3149809005571,434.945321185778,476.364546233348,41.4192250475698
"18","200","15","100",0.5,0.126666666666667,0.572519083969466,431,190.378801616302,593.309096912968,574.678743624172,620.344608488328,162.309096912968,143.678743624172,189.344608488328,177.050582479285,-28.0697047033341,-46.7000579921304,-1.03419312797453,-13.328219137017,554.025485226606,608.050582479285,54.0250972526788
"19","200","15","100",0.52,0.133333333333333,0.6,397,257.195425581845,618.989812080362,597.201459049615,636.719564181498,221.989812080362,200.201459049615,239.719564181498,213.511983727717,-35.2056135014833,-56.9939665322305,-17.4758614003479,-43.6834418541285,569.667753384006,610.511983727717,40.8442303437109
"20","200","15","100",0.48,0.14,0.558139534883721,569,229.187502405532,686.508684088152,672.557321825285,717.488161503634,117.508684088152,103.557321825285,148.488161503634,125.69174020882,-111.67881831738,-125.630180580248,-80.699340901898,-103.495762196712,645.376161081291,694.69174020882,49.3155791275296
"21","200","15","100",0.5,0.153333333333333,0.590551181102362,427,172.158032059098,633.718751284386,611.495311017633,664.433845762396,206.718751284386,184.495311017633,237.433845762396,201.360239191559,34.5607192252878,12.3372789585349,65.2758137032983,29.2022071324617,550.398745256886,628.360239191559,77.9614939346739
"22","200","15","100",0.5,0.173333333333333,0.604838709677419,343,248.989991810545,619.314514185284,595.657164375065,657.072808482109,276.314514185284,252.657164375065,314.072808482109,272.451020100369,27.3245223747396,3.66717256452006,65.0828166715643,23.4610282898247,538.126978332338,615.451020100369,77.3240417680313
"23","200","15","100",0.48,0.133333333333333,0.553846153846154,491,184.072384039904,636.234302332817,621.847241068241,668.918595493119,145.234302332817,130.847241068241,177.918595493119,163.50968689875,-38.8380817070872,-53.225142971663,-6.15378854678576,-20.5626971411541,589.464052631231,654.50968689875,65.0456342675195
"24","200","15","100",0.5,0.14,0.581395348837209,351,166.543321003882,507.489240391111,478.977836077154,539.202987010863,156.489240391111,127.977836077154,188.202987010863,159.905114737197,-10.054080612771,-38.5654849267277,21.6596660069815,-6.63820626668513,444.676994864778,510.905114737197,66.2281198724187
"25","200","15","100",0.52,0.16,0.619047619047619,359,247.084948440247,648.699651201472,626.77319582936,724.448446555983,289.699651201472,267.77319582936,365.448446555983,292.317820551765,42.6147027612255,20.6882473891134,118.363498115736,45.232872111518,550.422717632709,651.317820551765,100.895102919056
"26","200","15","100",0.5,0.16,0.595238095238095,389,219.926004721708,560.596404691931,544.739317599897,583.018795763323,171.596404691931,155.739317599897,194.018795763323,159.347928272889,-48.3296000297775,-64.1866871218114,-25.9072089583846,-60.5780764488195,510.705672192195,548.347928272889,37.6422560806936
"27","200","15","100",0.5,0.14,0.581395348837209,521,206.03311426442,690.493376425216,660.038166279999,715.62934920747,169.493376425216,139.038166279999,194.62934920747,165.579655512002,-36.5397378392033,-66.9949479844203,-11.4037650569492,-40.4534587524176,625.73833398079,686.579655512002,60.8413215312124
"28","200","15","100",0.52,0.173333333333333,0.629032258064516,411,188.834070776083,567.621538435804,550.953247036215,615.857227506673,156.621538435804,139.953247036215,204.857227506673,148.344146894826,-32.2125323402786,-48.880823739868,16.0231567305902,-40.4899238812563,517.395782250528,559.344146894826,41.9483646442986
"29","200","15","100",0.5,0.153333333333333,0.590551181102362,385,187.995910630159,561.627971791531,534.131749062083,602.524114757346,176.627971791531,149.131749062083,217.524114757346,169.392384621974,-11.3679388386284,-38.8641615680757,29.5282041271867,-18.6035260081847,510.04478810623,554.392384621974,44.3475965157439
