"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","400","0","100",0.51,0,0.51,333,196.789579744422,527.022639088856,527.022639088856,527.022639088856,194.022639088856,194.022639088856,194.022639088856,211.150281073159,-2.76694065556595,-2.76694065556595,-2.76694065556595,14.3607013287364,476.54017572316,544.150281073159,67.6101053499984
"2","400","0","100",0.5,0,0.5,473,190.59571427329,641.56562648202,641.56562648202,641.56562648202,168.56562648202,168.56562648202,168.56562648202,189.971500235423,-22.0300877912704,-22.0300877912704,-22.0300877912704,-0.62421403786675,600.211477601981,662.971500235423,62.7600226334424
"3","400","0","100",0.51,0,0.51,378,231.223811680521,604.941396253742,604.941396253742,604.941396253742,226.941396253742,226.941396253742,226.941396253742,240.475672554653,-4.28241542677972,-4.28241542677972,-4.28241542677972,9.25186087413169,553.57113286962,618.475672554653,64.904539685033
"4","400","0","100",0.5,0,0.5,331,214.981716356194,543.693647151274,543.693647151274,543.693647151274,212.693647151274,212.693647151274,212.693647151274,231.337304850887,-2.28806920491974,-2.28806920491974,-2.28806920491974,16.3555884946924,481.449092597508,562.337304850887,80.8882122533782
"5","400","0","100",0.5,0,0.5,325,225.15266014984,559.784841546744,559.784841546744,559.784841546744,234.784841546744,234.784841546744,234.784841546744,256.584825075729,9.63218139690369,9.63218139690369,9.63218139690369,31.4321649258882,505.843662200839,581.584825075729,75.7411628748897
"6","400","0","100",0.51,0,0.51,410,188.142078698576,584.331083991904,584.331083991904,584.331083991904,174.331083991904,174.331083991904,174.331083991904,195.908759465971,-13.8109947066725,-13.8109947066725,-13.8109947066725,7.76668076739503,564.19208065647,605.908759465971,41.7166788095017
"7","400","0","100",0.49,0,0.49,470,201.271025289431,671.724596870294,671.724596870294,671.724596870294,201.724596870294,201.724596870294,201.724596870294,222.19243406353,0.453571580863183,0.453571580863183,0.453571580863183,20.9214087740997,622.447569313437,692.19243406353,69.7448647500938
"8","400","0","100",0.5,0,0.5,418,230.074449076951,649.032235377452,649.032235377452,649.032235377452,231.032235377452,231.032235377452,231.032235377452,252.74070819859,0.957786300500345,0.957786300500345,0.957786300500345,22.6662591216382,600.507545571357,670.74070819859,70.2331626272331
"9","400","0","100",0.51,0,0.51,338,201.382799977327,521.5000445785,521.5000445785,521.5000445785,183.5000445785,183.5000445785,183.5000445785,206.617128549844,-17.8827553988274,-17.8827553988274,-17.8827553988274,5.23432857251692,493.891038245037,544.617128549844,50.7260903048066
"10","400","0","100",0.51,0,0.51,332,218.302854126378,559.388752054326,559.388752054326,559.388752054326,227.388752054326,227.388752054326,227.388752054326,247.945398953296,9.08589792794851,9.08589792794851,9.08589792794851,29.6425448269183,491.106619601432,579.945398953296,88.8387793518646
"11","400","0","100",0.51,0,0.51,386,191.577573327893,551.997565685859,551.997565685859,551.997565685859,165.997565685859,165.997565685859,165.997565685859,191.876125346074,-25.5800076420338,-25.5800076420338,-25.5800076420338,0.298552018180743,522.03652187254,577.876125346074,55.8396034735342
"12","400","0","100",0.52,0,0.52,335,190.554024596392,521.676326413197,521.676326413197,521.676326413197,186.676326413197,186.676326413197,186.676326413197,199.254575872208,-3.87769818319521,-3.87769818319521,-3.87769818319521,8.70055127581588,464.165592867835,534.254575872208,70.0889830043723
"13","400","0","100",0.49,0,0.49,442,181.340288374195,633.949781928636,633.949781928636,633.949781928636,191.949781928636,191.949781928636,191.949781928636,215.556860346264,10.6094935544409,10.6094935544409,10.6094935544409,34.2165719720688,584.174956670953,657.556860346264,73.3819036753109
"14","400","0","100",0.49,0,0.49,443,199.781094616862,645.709977242345,645.709977242345,645.709977242345,202.709977242345,202.709977242345,202.709977242345,226.277059833243,2.92888262548337,2.92888262548337,2.92888262548337,26.4959652163816,595.521462437415,669.277059833243,73.7555973958288
"15","400","0","100",0.49,0,0.49,471,219.368560107992,665.219535041774,665.219535041774,665.219535041774,194.219535041774,194.219535041774,194.219535041774,221.054580529069,-25.1490250662181,-25.1490250662181,-25.1490250662181,1.68602042107707,616.440486547226,692.054580529069,75.6140939818433
"16","400","0","100",0.5,0,0.5,388,188.852473229127,581.193546119475,581.193546119475,581.193546119475,193.193546119475,193.193546119475,193.193546119475,215.537538468712,4.34107289034768,4.34107289034768,4.34107289034768,26.6850652395847,515.227264885188,603.537538468712,88.3102735835234
"17","400","0","100",0.5,0,0.5,454,212.12776423447,640.541968087327,640.541968087327,640.541968087327,186.541968087327,186.541968087327,186.541968087327,206.686577029144,-25.5857961471428,-25.5857961471428,-25.5857961471428,-5.44118720532623,593.656576225226,660.686577029144,67.030000803918
"18","400","0","100",0.5,0,0.5,416,237.337752224079,668.25957379532,668.25957379532,668.25957379532,252.25957379532,252.25957379532,252.25957379532,270.462945564139,14.9218215712407,14.9218215712407,14.9218215712407,33.1251933400602,589.388982644106,686.462945564139,97.0739629200327
"19","400","0","100",0.5,0,0.5,395,206.346708109082,599.70885999899,599.70885999899,599.70885999899,204.70885999899,204.70885999899,204.70885999899,229.435040359028,-1.63784811009236,-1.63784811009236,-1.63784811009236,23.088332249946,561.834211717004,624.435040359028,62.6008286420239
"20","400","0","100",0.5,0,0.5,421,195.55788906545,609.26257693914,609.26257693914,609.26257693914,188.26257693914,188.26257693914,188.26257693914,204.530399467843,-7.29531212630977,-7.29531212630977,-7.29531212630977,8.97251040239306,575.436518065839,625.530399467843,50.0938814020042
"21","400","0","100",0.5,0,0.5,340,210.035691254982,512.664390023983,512.664390023983,512.664390023983,172.664390023983,172.664390023983,172.664390023983,194.510871783821,-37.3713012309991,-37.3713012309991,-37.3713012309991,-15.5248194711609,476.550785711651,534.510871783821,57.9600860721704
"22","400","0","100",0.5,0,0.5,367,182.51364680406,542.934991424022,542.934991424022,542.934991424022,175.934991424022,175.934991424022,175.934991424022,193.615468577119,-6.57865538003855,-6.57865538003855,-6.57865538003855,11.1018217730586,496.693797405633,560.615468577119,63.9216711714855
"23","400","0","100",0.5,0,0.5,430,197.744013224451,624.198501344489,624.198501344489,624.198501344489,194.198501344489,194.198501344489,194.198501344489,213.46921592253,-3.54551187996194,-3.54551187996194,-3.54551187996194,15.7252026980794,568.521111292863,643.46921592253,74.9481046296672
