"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","800","15","200",0.5,0.143333333333333,0.583657587548638,469.5,218.331834419462,662.294627196189,626.205294087879,707.495368012684,192.794627196189,156.705294087879,237.995368012684,213.103112634934,-25.5372072232732,-61.626540331583,19.6635335932214,-5.22872178452795
"2","800","15","200",0.51,0.145,0.596491228070176,508.5,232.402060587677,720.408163589575,674.635217867259,775.184416872978,211.908163589575,166.135217867259,266.684416872978,205.897621163792,-20.4938969981019,-66.2668427204177,34.2823562853014,-26.5044394238847
"3","800","15","200",0.51,0.143333333333333,0.595330739299611,438,226.212329425242,636.224535816938,593.439058600375,694.607546101273,198.224535816938,155.439058600375,256.607546101273,201.005362743398,-27.9877936083043,-70.7732708248672,30.3952166760303,-25.2069666818444
"4","800","15","200",0.505,0.155,0.597633136094674,407,235.657934474053,656.742540252062,614.018756642968,709.657671872831,249.742540252062,207.018756642968,302.657671872831,250.637129210298,14.084605778009,-28.6391778310843,66.9997373987781,14.9791947362449
"5","800","15","200",0.5,0.163333333333333,0.597609561752988,471,267.629760635922,754.806994380877,714.169671259402,833.055222514653,283.806994380877,243.169671259402,362.055222514653,290.20986433109,16.1772337449552,-24.4600893765206,94.4254618787309,22.5801036951678
"6","800","15","200",0.505,0.135,0.583815028901734,468.5,204.58468876969,622.450849595637,584.328896106526,665.924450790329,153.950849595637,115.828896106526,197.424450790329,152.550120221388,-50.6338391740528,-88.7557926631647,-7.16023797936171,-52.0345685483019
"7","800","15","200",0.51,0.148333333333333,0.598825831702544,369,258.159576249992,628.555833922692,592.039467788471,692.104525951449,259.555833922692,223.039467788471,323.104525951449,265.901184116217,1.39625767270007,-35.1201084615219,64.9449497014562,7.74160786622446
"8","800","15","200",0.51,0.155,0.603550295857988,365,217.778532696493,602.961410493241,558.188000274717,673.296871775849,237.961410493241,193.188000274717,308.296871775849,245.133894662563,20.1828777967478,-24.590532421777,90.5183390793557,27.3553619660692
"9","800","15","200",0.495,0.155,0.585798816568047,486.5,234.910930349022,695.45281040082,666.850793691984,763.043585839488,208.95281040082,180.350793691984,276.543585839488,229.74760974118,-25.9581199482017,-54.560136657038,41.632655490466,-5.16332060784217
"10","800","15","200",0.495,0.138333333333333,0.574468085106383,480,234.679582030656,673.938373198616,645.609261429845,725.329651875122,193.938373198616,165.609261429845,245.329651875122,220.975513135843,-40.7412088320404,-69.0703206008114,10.6500698444655,-13.7040688948128
"11","800","15","200",0.495,0.165,0.592814371257485,565.5,228.420327500113,811.658228257647,777.5136112795,861.589726418307,246.158228257647,212.0136112795,296.089726418307,244.8866556879,17.7379007575344,-16.4067162206127,67.6693989181943,16.4663281877869
"12","800","15","200",0.5,0.15,0.588235294117647,405.5,246.409222609372,631.877302633785,586.176619906845,686.46816454731,226.377302633785,180.676619906845,280.96816454731,239.011462324747,-20.0319199755874,-65.7326027025275,34.5589419379376,-7.39776028462532
"13","800","15","200",0.5,0.163333333333333,0.597609561752988,473.5,196.649274502337,658.58527828809,616.669323278531,722.563574312365,185.08527828809,143.169323278531,249.063574312365,202.010206735899,-11.5639962142474,-53.4799512238061,52.4142998100279,5.3609322335619
"14","800","15","200",0.5,0.146666666666667,0.5859375,492,292.865232100896,744.952809368552,707.633074112225,795.994217880733,252.952809368552,215.633074112225,303.994217880733,260.991717782973,-39.9124227323437,-77.2321579886706,11.1289857798371,-31.8735143179226
"15","800","15","200",0.495,0.151666666666667,0.583497053045187,529,240.434753653736,794.424997196595,748.53564200822,848.824326987111,265.424997196595,219.53564200822,319.824326987111,274.267612703154,24.9902435428592,-20.8991116455157,79.3895733333752,33.8328590494176
"16","800","15","200",0.5,0.148333333333333,0.587084148727984,380,215.880026954068,595.593146111486,549.54360905292,643.02106268779,215.593146111486,169.54360905292,263.02106268779,226.235177281509,-0.286880842582889,-46.3364179011488,47.1410357337211,10.3551503274408
"17","800","15","200",0.495,0.156666666666667,0.58695652173913,553,205.068598230009,737.647843269519,702.301676115237,806.470789963859,184.647843269519,149.301676115237,253.470789963859,205.324380919969,-20.4207549604898,-55.7669221147716,48.4021917338505,0.255782689960881
"18","800","15","200",0.5,0.148333333333333,0.587084148727984,407,229.609527301327,609.084513356559,569.684555468553,659.81685826987,202.084513356559,162.684555468553,252.81685826987,226.471908725583,-27.5250139447687,-66.9249718327739,23.2073309685424,-3.13761857574374
"19","800","15","200",0.495,0.155,0.585798816568047,533.5,229.489587080087,731.855542262879,698.756011034279,798.080547420184,198.355542262879,165.256011034279,264.580547420184,219.152375027075,-31.1340448172089,-64.233576045808,35.0909603400968,-10.3372120530126
"20","800","15","200",0.51,0.143333333333333,0.595330739299611,482.5,214.585352173077,701.00200743655,660.093593005531,757.500015893631,218.50200743655,177.593593005531,275.000015893631,216.876705753342,3.91665526347302,-36.9917591675458,60.4146637205543,2.29135358026556
"21","800","15","200",0.5,0.14,0.581395348837209,540,246.886616567479,738.185316018609,702.416816128758,782.045430629951,198.185316018609,162.416816128758,242.045430629951,205.639659837514,-48.7013005488703,-84.4698004387213,-4.84118593752794,-41.2469567299655
"22","800","15","200",0.495,0.165,0.592814371257485,491,230.251249892793,722.275739022324,681.86347114694,784.498999655534,231.275739022324,190.86347114694,293.498999655534,235.541730543736,1.02448912953068,-39.3877787458537,63.2477497627401,5.29048065094295
"23","800","15","200",0.505,0.158333333333333,0.6,337,234.463481813438,572.271635065192,519.107590889547,623.651083411934,235.271635065192,182.107590889547,286.651083411934,231.866923635735,0.808153251754277,-52.3558909238902,52.1876015984961,-2.59655817770232
"24","800","15","200",0.51,0.146666666666667,0.59765625,484.5,225.620621498211,659.526903486413,615.777793991329,715.294788074699,175.026903486413,131.277793991329,230.794788074699,178.443355944735,-50.5937180117982,-94.3428275068822,5.1741665764882,-47.1772655534764
"25","800","15","200",0.505,0.145,0.590643274853801,501.5,207.234163549695,664.649393498902,628.680727276483,718.517375530082,163.149393498902,127.180727276483,217.017375530082,167.672481821692,-44.084770050793,-80.0534362732117,9.78321198038697,-39.5616817280027
"26","800","15","200",0.5,0.153333333333333,0.590551181102362,455.5,234.0549248969,696.713039165709,664.332621964614,761.204279736594,241.213039165709,208.832621964614,305.704279736594,250.816000310194,7.1581142688083,-25.2223029322864,71.6493548396932,16.7610754132932
"27","800","15","200",0.5,0.151666666666667,0.589390962671906,382.5,249.138129938923,602.841550520404,561.487806194153,669.185163993864,220.341550520404,178.987806194153,286.685163993864,238.164653359075,-28.7965794185195,-70.1503237447702,37.5470340549404,-10.9734765798483
"28","800","15","200",0.49,0.158333333333333,0.582178217821782,491,220.047497764534,672.344075601378,636.435846766928,731.674954824238,181.344075601378,145.435846766928,240.674954824238,193.190113943594,-38.7034221631566,-74.6116509976067,20.6274570597041,-26.85738382094
"29","800","15","200",0.5,0.153333333333333,0.590551181102362,468.5,225.895938581239,654.497711603197,614.562338605898,698.690604129192,185.997711603197,146.062338605898,230.190604129192,189.836922948139,-39.8982269780422,-79.8335999753411,4.29466554795275,-36.0590156331001
"30","800","15","200",0.5,0.141666666666667,0.58252427184466,609.5,222.041383181493,778.146907255231,738.546713882551,822.363854173295,168.646907255231,129.046713882551,212.863854173295,181.603427698117,-53.3944759262621,-92.9946692989425,-9.17752900819821,-40.4379554833764
"31","800","15","200",0.505,0.151666666666667,0.595284872298625,453,235.073518332598,670.264975837086,635.106550927692,738.608494804382,217.264975837086,182.106550927692,285.608494804382,236.373484932018,-17.8085424955117,-52.9669674049056,50.5349764717836,1.29996659942043
"32","800","15","200",0.51,0.16,0.607142857142857,364.5,235.290395179711,595.612913128879,568.27626838887,673.9298499161,231.112913128879,203.77626838887,309.4298499161,244.893078210116,-4.1774820508318,-31.5141267908403,74.1394547363898,9.60268303040542
"33","800","15","200",0.5,0.15,0.588235294117647,437,205.189536431219,611.746272857283,577.9914436976,669.057698720636,174.746272857283,140.9914436976,232.057698720636,190.51511425382,-30.4432635739361,-64.1980927336195,26.8681622894164,-14.6744221773991
"34","800","15","200",0.51,0.156666666666667,0.604743083003953,424,218.549175969072,653.227531411369,609.871179031568,713.895935425308,229.227531411369,185.871179031568,289.895935425308,224.613143468708,10.6783554422961,-32.6779969375041,71.346759456236,6.06396749963605
"35","800","15","200",0.5,0.16,0.595238095238095,498.5,264.038851296776,767.879705542074,726.29288699424,823.272384159233,269.379705542074,227.79288699424,324.772384159233,265.099338865793,5.34085424529752,-36.2459643025362,60.7335328624563,1.06048756901629
"36","800","15","200",0.5,0.138333333333333,0.58027079303675,528.5,206.522777103628,657.002348266178,627.879495918355,704.885951599815,128.502348266178,99.3794959183554,176.385951599815,150.558412176461,-78.0204288374494,-107.143281185272,-30.1368255038131,-55.9643649271669
"37","800","15","200",0.505,0.155,0.597633136094674,490,231.795339539375,694.310981415955,656.718003859312,752.709707017187,204.310981415955,166.718003859312,262.709707017187,212.389966497372,-27.4843581234207,-65.077335680063,30.914367477812,-19.4053730420029
"38","800","15","200",0.505,0.151666666666667,0.595284872298625,474,196.851897103266,671.790863681046,624.465842159169,732.469190489083,197.790863681046,150.465842159169,258.469190489083,193.79419091868,0.938966577780178,-46.386054944097,61.6172933858169,-3.05770618458601
