"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","100","5","100",0.48,0.0533333333333333,0.507042253521127,416,251.203555257933,685.474508820854,675.579492094514,689.57192188883,269.474508820854,259.579492094514,273.57192188883,279.256937615556,18.2709535629216,8.37593683658145,22.368366630897,28.0533823576229,622.582001005988,695.256937615556,72.6749366095679
"2","100","5","100",0.52,0.04,0.541666666666667,412,245.700809390679,667.090600022172,664.279927519475,673.782636968026,255.090600022172,252.279927519475,261.782636968026,264.269185638345,9.38979063149242,6.57911812879541,16.0818275773469,18.5683762476655,593.018079089837,676.269185638345,83.2511065485077
"3","100","5","100",0.48,0.0666666666666667,0.514285714285714,388,216.762254827267,638.417211939036,630.266991535978,653.118438771174,250.417211939036,242.266991535978,265.118438771174,263.918759148973,33.6549571117693,25.5047367087111,48.3561839439071,47.1565043217066,578.766088795821,651.918759148973,73.1526703531525
"4","100","5","100",0.6,0.0266666666666666,0.616438356164384,272,259.085804540924,480.367260533469,475.698146549258,487.514577278827,208.367260533469,203.698146549258,215.514577278827,194.679925777459,-50.718544007455,-55.387657991666,-43.5712272620974,-64.4058787634654,438.025320122593,466.679925777459,28.6546056548659
"5","100","5","100",0.44,0.0533333333333333,0.464788732394366,488,214.862381230037,684.966028247764,681.420848020458,695.624173569599,196.966028247764,193.420848020458,207.624173569599,240.587656807838,-17.8963529822723,-21.4415332095788,-7.23820766043735,25.7252755778014,650.685020831166,728.587656807838,77.9026359766717
"6","100","5","100",0.52,0.0533333333333333,0.549295774647887,316,234.908175443774,522.774073772537,520.408424194387,525.822469657472,206.774073772537,204.408424194387,209.822469657472,213.380848502844,-28.1341016712372,-30.4997512493873,-25.0857057863028,-21.5273269409306,480.017793410619,529.380848502844,49.3630550922243
"7","100","5","100",0.52,0.0533333333333333,0.549295774647887,416,279.912690456512,674.640480017561,663.026445394651,679.259323570439,258.640480017561,247.026445394651,263.259323570439,255.438685741012,-21.2722104389509,-32.8862450618612,-16.6533668860732,-24.4740047155006,600.908102344601,671.438685741012,70.5305833964106
"8","100","5","100",0.52,0.0533333333333333,0.549295774647887,360,207.462888814445,595.585382114949,589.70071092893,598.681415470232,235.585382114949,229.70071092893,238.681415470232,240.797897540518,28.1224933005045,22.2378221144857,31.2185266557868,33.3350087260733,544.657016487184,600.797897540518,56.1408810533336
"9","100","5","100",0.48,0.0533333333333333,0.507042253521127,460,218.965081761548,656.812138279502,647.93379312606,659.313865164395,196.812138279502,187.93379312606,199.313865164395,222.293817870016,-22.1529434820456,-31.0312886354879,-19.6512165971533,3.32873610846823,613.604483321337,682.293817870016,68.6893345486794
"10","100","5","100",0.52,0.04,0.541666666666667,436,220.214989720919,641.20951579371,633.989344510357,647.48316299068,205.20951579371,197.989344510357,211.48316299068,218.638771613783,-15.0054739272092,-22.2256452105617,-8.73182673023868,-1.57621810713599,597.540465667931,654.638771613783,57.0983059458517
"11","100","5","100",0.48,0.0266666666666666,0.493150684931507,452,220.167194694894,607.551076098228,605.677445761026,609.49979252415,155.551076098228,153.677445761026,157.49979252415,169.85924025902,-64.6161185966653,-66.4897489338676,-62.6674021707438,-50.3079544358732,579.859247068061,621.85924025902,41.9999931909599
"12","100","5","100",0.56,0.04,0.583333333333333,304,237.363708160722,516.183274220802,511.002811032658,518.561112235768,212.183274220802,207.002811032658,214.561112235768,223.692230273511,-25.1804339399197,-30.3608971280637,-22.8025959249537,-13.6714778872114,504.743868571856,527.692230273511,22.9483617016546
"13","100","5","100",0.52,0.04,0.541666666666667,372,256.988516822196,596.500683757539,596.174329737476,600.31111030609,224.500683757539,224.174329737476,228.31111030609,246.270366962862,-32.4878330646573,-32.81418708472,-28.6774065161056,-10.7181498593341,575.226808549079,618.270366962862,43.0435584137825
"14","100","5","100",0.52,0.0666666666666667,0.557142857142857,344,228.015875273213,577.876310847479,576.123342434925,583.516074037911,233.876310847479,232.123342434925,239.516074037911,240.797317287707,5.86043557426632,4.10746716171235,11.5001987646978,12.7814420144935,539.317676292459,584.797317287707,45.4796409952479
