"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","400","0","200",0.49,0.0133333333333333,0.496621621621622,555,204.069718830725,717.198335804908,711.119828000492,722.080335856623,162.198335804908,156.119828000492,167.080335856623,220.7215578828,-41.8713830258166,-47.9498908302332,-36.9893829741023,16.6518390520752
"2","400","0","200",0.5,0.01,0.505050505050505,462,225.383567853253,674.886580622125,672.398938046251,676.544212407715,212.886580622125,210.398938046251,214.544212407715,255.283367411456,-12.4969872311279,-14.9846298070024,-10.839355445538,29.8997995582026
"3","400","0","200",0.51,0,0.51,399,241.374229003191,605.476915388144,605.476915388144,605.476915388144,206.476915388144,206.476915388144,206.476915388144,251.743609569568,-34.8973136150472,-34.8973136150472,-34.8973136150472,10.3693805663767
"4","400","0","200",0.48,0.0133333333333333,0.486486486486486,547,211.421242936394,694.751171874199,694.392961007261,697.608392295546,147.751171874199,147.392961007261,150.608392295546,205.185094787053,-63.6700710621953,-64.028281929133,-60.8128506408479,-6.23614814934123
"5","400","0","200",0.52,0.00666666666666671,0.523489932885906,360,241.28188406577,574.2305146239,572.688448647569,576.695549097025,214.2305146239,212.688448647569,216.695549097025,259.634838926803,-27.05136944187,-28.5934354182015,-24.5863349687453,18.3529548610331
"6","400","0","200",0.51,0.02,0.520408163265306,426,248.111314456234,681.02900222226,676.170526908081,684.252329864945,255.02900222226,250.170526908081,258.252329864945,296.214968744363,6.91768776602626,2.05921245184655,10.1410154087113,48.103654288129
"7","400","0","200",0.51,0.0033333333333333,0.511705685618729,348,226.420871300619,580.639193376749,580.301305539897,580.985847146918,232.639193376749,232.301305539897,232.985847146918,268.347716230889,6.21832207612988,5.88043423927775,6.56497584629903,41.9268449302698
"8","400","0","200",0.51,0.01,0.515151515151515,429,236.473671181988,641.08297651851,638.948189472053,642.340314743901,212.08297651851,209.948189472053,213.340314743901,270.022680985609,-24.3906946634782,-26.5254817099354,-23.1333564380867,33.5490098036211
"9","400","0","200",0.5,0.00666666666666671,0.503355704697987,462,232.971999655719,607.943927423873,606.736439839038,609.988818304565,145.943927423873,144.736439839038,147.988818304565,200.814279624614,-87.0280722318458,-88.2355598166806,-84.9831813511541,-32.1577200311053
"10","400","0","200",0.5,0,0.5,422,207.646999225772,623.419021126867,623.419021126867,623.419021126867,201.419021126867,201.419021126867,201.419021126867,253.440807768829,-6.22797809890463,-6.22797809890463,-6.22797809890463,45.7938085430573
"11","400","0","200",0.5,0.0166666666666667,0.508474576271186,480,229.820182421798,696.014927670719,694.023299877805,696.453237596177,216.014927670719,214.023299877805,216.453237596177,268.924747607315,-13.8052547510798,-15.7968825439932,-13.3669448256219,39.1045651855161
"12","400","0","200",0.49,0.00666666666666671,0.493288590604027,454,225.514543697441,661.945112387478,661.019700027666,663.08173610727,207.945112387478,207.019700027666,209.08173610727,261.361540040949,-17.569431309963,-18.4948436697753,-16.4328075901714,35.8469963435078
"13","400","0","200",0.51,0.0166666666666667,0.51864406779661,347,267.970736234126,641.260107743123,639.200760176336,643.385326414726,294.260107743123,292.200760176336,296.385326414726,329.860109501547,26.2893715089974,24.2300239422103,28.4145901806002,61.8893732674218
"14","400","0","200",0.5,0.0033333333333333,0.501672240802676,468,213.671667061821,684.647712226368,684.108420917868,685.191067147389,216.647712226368,216.108420917868,217.191067147389,259.194791580344,2.97604516454672,2.43675385604629,3.51940008556815,45.5231245185228
"15","400","0","200",0.52,0,0.52,288,248.984253865318,547.749054603139,547.749054603139,547.749054603139,259.749054603139,259.749054603139,259.749054603139,298.694727113878,10.7648007378211,10.7648007378211,10.7648007378211,49.7104732485604
"16","400","0","200",0.51,0.01,0.515151515151515,483,220.03893734887,659.619990858892,657.882007591511,663.358407892312,176.619990858892,174.882007591511,180.358407892312,228.4078553793,-43.4189464899779,-45.1569297573588,-39.6805294565584,8.3689180304296
"17","400","0","200",0.52,0,0.52,375,251.537221257461,599.708312968599,599.708312968599,599.708312968599,224.708312968599,224.708312968599,224.708312968599,259.027760243563,-26.8289082888618,-26.8289082888618,-26.8289082888618,7.49053898610234
"18","400","0","200",0.5,0.01,0.505050505050505,412,232.898460843366,645.693840274686,643.762686216406,648.18616682388,233.693840274686,231.762686216406,236.18616682388,282.117033414943,0.795379431320185,-1.13577462696,3.28770598051429,49.2185725715777
"19","400","0","200",0.5,0.00666666666666671,0.503355704697987,401,255.605032961216,655.05958844873,651.760321995829,657.621626866769,254.05958844873,250.760321995829,256.621626866769,297.379321376633,-1.54544451248563,-4.8447109653867,1.01659390555295,41.7742884154165
"20","400","0","200",0.5,0.01,0.505050505050505,513,227.851338388718,707.780002185871,701.768837792054,709.598361294393,194.780002185871,188.768837792054,196.598361294393,229.633337415469,-33.0713362028477,-39.0825005966639,-31.2529770943256,1.78199902675041
"21","400","0","200",0.52,0,0.52,324,252.239352356733,582.619241226895,582.619241226895,582.619241226895,258.619241226895,258.619241226895,258.619241226895,300.806537387266,6.37988887016166,6.37988887016166,6.37988887016166,48.5671850305322
"22","400","0","200",0.51,0.0133333333333333,0.516891891891892,348,214.21882646512,605.56173964111,603.33646630767,608.150822617172,257.56173964111,255.33646630767,260.150822617172,297.693332464387,43.3429131759897,41.1176398425503,45.9319961520524,83.4745059992671
"23","400","0","200",0.5,0.0133333333333333,0.506756756756757,442,218.593260687389,646.463578317023,644.304726057611,651.265296192885,204.463578317023,202.304726057611,209.265296192885,245.390052203823,-14.129682370366,-16.2885346297775,-9.32796449450387,26.7967915164346
"24","400","0","200",0.51,0.01,0.515151515151515,349,229.59057757906,588.904340622476,587.901397816094,590.570327068219,239.904340622476,238.901397816094,241.570327068219,281.966095806163,10.3137630434159,9.31082023703459,11.9797494891594,52.3755182271033
"25","400","0","200",0.52,0.0033333333333333,0.521739130434783,391,237.142383600449,644.795277745711,642.667990736767,646.891720192588,253.795277745711,251.667990736767,255.891720192588,301.041568260909,16.652894145262,14.5256071363181,18.7493365921389,63.8991846604596
"26","400","0","200",0.5,0.0133333333333333,0.506756756756757,439,257.139956814409,664.20009281493,660.603271727656,668.927160748355,225.20009281493,221.603271727656,229.927160748355,270.542914441474,-31.9398639994796,-35.5366850867532,-27.212796066054,13.4029576270648
"27","400","0","200",0.5,0,0.5,383,210.669939730325,553.004926736423,553.004926736423,553.004926736423,170.004926736423,170.004926736423,170.004926736423,222.460729917534,-40.6650129939018,-40.6650129939018,-40.6650129939018,11.7907901872097
"28","400","0","200",0.52,0.01,0.525252525252525,402,271.700089123809,632.444898582827,630.723510318255,633.983956030914,230.444898582827,228.723510318255,231.983956030914,271.038668882788,-41.2551905409821,-42.9765788055544,-39.7161330928948,-0.661420241020892
"29","400","0","200",0.5,0.0133333333333333,0.506756756756757,507,247.025367342151,727.792936512145,726.897372601479,730.52532277808,220.792936512145,219.897372601479,223.52532277808,253.813544400168,-26.2324308300065,-27.1279947406726,-23.5000445640718,6.78817705801626
"30","400","0","200",0.51,0.00666666666666671,0.513422818791946,479,233.245510422234,691.800082575115,691.269803219682,694.371086936022,212.800082575115,212.269803219682,215.371086936022,251.112853134286,-20.4454278471183,-20.975707202552,-17.8744234862113,17.8673427120526
"31","400","0","200",0.51,0.00666666666666671,0.513422818791946,495,226.810468154769,701.347424865148,700.270511314807,702.41049941522,206.347424865148,205.270511314807,207.41049941522,263.203989245442,-20.4630432896207,-21.5399568399611,-19.3999687395486,36.3935210906736
"32","400","0","200",0.5,0.00666666666666671,0.503355704697987,502,222.834188813381,721.443502939276,720.193880750829,722.430730986938,219.443502939276,218.193880750829,220.430730986938,261.791538047156,-3.39068587410523,-4.64030806255178,-2.40345782644309,38.9573492337751
"33","400","0","200",0.5,0.01,0.505050505050505,396,203.838794783568,603.978040469691,601.226227669532,605.542585942552,207.978040469691,205.226227669532,209.542585942552,251.057186047704,4.13924568612259,1.38743288596407,5.70379115898407,47.2183912641362
"34","400","0","200",0.5,0.01,0.505050505050505,389,224.642916315456,605.046874536033,601.397960404064,606.871728425196,216.046874536033,212.397960404064,217.871728425196,256.922456004116,-8.59604177942308,-12.2449559113917,-6.77118789025982,32.2795396886602
"35","400","0","200",0.5,0.0166666666666667,0.508474576271186,477,232.209163102767,698.468256406907,697.341076993721,704.447434649577,221.468256406907,220.341076993721,227.447434649577,277.7720313414,-10.7409066958595,-11.8680861090454,-4.76172845318959,45.5628682386331
"36","400","0","200",0.51,0.00666666666666671,0.513422818791946,360,234.710924321921,585.570514700737,583.817718691193,587.624317765502,225.570514700737,223.817718691193,227.624317765502,270.636452805849,-9.14040962118369,-10.893205630728,-7.08660655641901,35.9255284839284
"37","400","0","200",0.51,0.00666666666666671,0.513422818791946,383,244.283044893029,638.063288451267,636.824816353849,638.795598927983,255.063288451267,253.824816353849,255.795598927983,299.312238832052,10.7802435582375,9.54177146081929,11.5125540349538,55.0291939390228
"38","400","0","200",0.51,0.0033333333333333,0.511705685618729,423,242.72624850088,647.301525998384,646.473242762821,648.153023114616,224.301525998384,223.473242762821,225.153023114616,276.915838695984,-18.4247225024963,-19.2530057380595,-17.5732253862646,34.1895901951036
