"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","200","0","50",0.54,0,0.54,283,208.279702039057,504.751357670974,504.751357670974,504.751357670974,221.751357670974,221.751357670974,221.751357670974,213.211595986248,13.4716556319174,13.4716556319174,13.4716556319174,4.93189394719099
"2","200","0","50",0.5,0,0.5,425,188.611749914067,622.60225505124,622.60225505124,622.60225505124,197.60225505124,197.60225505124,197.60225505124,198.897840135647,8.99050513717316,8.99050513717316,8.99050513717316,10.28609022158
"3","200","0","50",0.52,0,0.52,257,232.319981237322,476.749595663034,476.749595663034,476.749595663034,219.749595663034,219.749595663034,219.749595663034,225.483317791271,-12.5703855742871,-12.5703855742871,-12.5703855742871,-6.83666344605018
"4","200","0","50",0.52,0,0.52,319,195.406229950626,509.43265558913,509.43265558913,509.43265558913,190.43265558913,190.43265558913,190.43265558913,192.950003209166,-4.97357436149645,-4.97357436149645,-4.97357436149645,-2.45622674146017
"5","200","0","50",0.52,0,0.52,307,248.709148872311,529.858199494443,529.858199494443,529.858199494443,222.858199494443,222.858199494443,222.858199494443,229.792523841356,-25.8509493778681,-25.8509493778681,-25.8509493778681,-18.9166250309545
"6","200","0","50",0.5,0,0.5,329,237.365123573353,582.889419840627,582.889419840627,582.889419840627,253.889419840627,253.889419840627,253.889419840627,257.850171783288,16.5242962672747,16.5242962672747,16.5242962672747,20.4850482099353
"7","200","0","50",0.5,0,0.5,281,231.119876616688,506.594768005105,506.594768005105,506.594768005105,225.594768005105,225.594768005105,225.594768005105,230.809871140072,-5.52510861158305,-5.52510861158305,-5.52510861158305,-0.31000547661597
"8","200","0","50",0.5,0,0.5,339,216.092886209831,536.360083930856,536.360083930856,536.360083930856,197.360083930856,197.360083930856,197.360083930856,199.57215743389,-18.7328022789753,-18.7328022789753,-18.7328022789753,-16.5207287759413
"9","200","0","50",0.52,0,0.52,313,224.244491293233,538.139479528852,538.139479528852,538.139479528852,225.139479528852,225.139479528852,225.139479528852,231.824986952884,0.894988235618484,0.894988235618484,0.894988235618484,7.58049565965075
"10","200","0","50",0.46,0,0.46,403,176.70724514646,586.715201458377,586.715201458377,586.715201458377,183.715201458377,183.715201458377,183.715201458377,199.220152956539,7.00795631191724,7.00795631191724,7.00795631191724,22.5129078100789
