"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","200","15","100",0.48,0.14,0.558139534883721,499,188.299221046455,628.655021476406,620.267704938979,652.049009275283,129.655021476406,121.267704938979,153.049009275283,139.372994608161,-58.6441995700484,-67.0315161074756,-35.2502117711716,-48.926226438294
"2","200","15","100",0.5,0.146666666666667,0.5859375,379,246.057343086915,601.674204173827,589.346806728139,634.16943102762,222.674204173827,210.346806728139,255.16943102762,225.462154278522,-23.3831389130882,-35.7105363587759,9.11208794070538,-20.5951888083933
"3","200","15","100",0.48,0.126666666666667,0.549618320610687,385,246.224155592807,545.504944484051,528.778250089363,573.106316464751,160.504944484051,143.778250089363,188.106316464751,182.092539137075,-85.7192111087565,-102.445905503444,-58.1178391280563,-64.1316164557327
"4","200","15","100",0.5,0.133333333333333,0.576923076923077,367,292.108431015354,565.54945289323,544.464611268585,592.225916631035,198.54945289323,177.464611268585,225.225916631035,202.500599020654,-93.5589781221238,-114.643819746769,-66.8825143843189,-89.6078319946996
"5","200","15","100",0.5,0.173333333333333,0.604838709677419,407,238.806526209554,638.629490760348,614.009820880468,688.863737800158,231.629490760348,207.009820880468,281.863737800158,230.337286927902,-7.17703544920579,-31.7967053290866,43.0572115906037,-8.46923928165239
"6","200","15","100",0.46,0.133333333333333,0.530769230769231,423,266.842703725695,640.483819177552,630.539868594122,678.919234853354,217.483819177552,207.539868594122,255.919234853354,240.333292840282,-49.3588845481426,-59.3028351315728,-10.9234688723403,-26.509410885413
"7","200","15","100",0.5,0.186666666666667,0.614754098360656,401,212.087697969661,653.055433263194,630.62822166321,701.764103515221,252.055433263194,229.62822166321,300.764103515221,249.884921318591,39.9677352935329,17.5405236935489,88.6764055455602,37.7972233489298
"8","200","15","100",0.52,0.16,0.619047619047619,415,201.258204555302,575.722047033008,549.228348313864,613.728102915285,160.722047033008,134.228348313864,198.728102915285,154.505659091378,-40.5361575222941,-67.029856241438,-2.53010164001665,-46.752545463924
"9","200","15","100",0.5,0.126666666666667,0.572519083969466,359,240.218979201136,527.290133672669,514.672433334103,539.244220772315,168.290133672669,155.672433334103,180.244220772315,174.233922555347,-71.9288455284661,-84.5465458670326,-59.974758428821,-65.9850566457881
"10","200","15","100",0.54,0.126666666666667,0.618320610687023,371,251.383114636698,602.201472256765,578.4946723753,643.597782731771,231.201472256765,207.4946723753,272.597782731771,225.758403128145,-20.1816423799336,-43.8884422613984,21.2146680950723,-25.6247115085535
"11","200","15","100",0.52,0.153333333333333,0.614173228346457,341,255.262780586126,551.181653995929,532.576861615297,580.866080721013,210.181653995929,191.576861615297,239.866080721013,197.934086286162,-45.0811265901971,-63.6859189708289,-15.3966998651132,-57.3286942999637
