"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","200","10","150",0.5,0.106666666666667,0.559701492537313,475,215.944642288626,664.141767248109,648.439271638028,698.43007263359,189.141767248109,173.439271638028,223.43007263359,227.71318099474,-26.8028750405168,-42.505370650598,7.48543034496424,11.7685387061139,588.100953053846,702.71318099474,114.612227940895
"2","200","10","150",0.48,0.0866666666666667,0.525547445255474,483,268.879734666871,715.061100179825,701.275816531207,722.78491422444,232.061100179825,218.275816531207,239.78491422444,250.564251385524,-36.8186344870465,-50.6039181356643,-29.0948204424307,-18.3154832813468,650.204090297446,733.564251385524,83.3601610880786
"3","200","10","150",0.5,0.0933333333333334,0.551470588235294,409,213.916141534511,621.856565403709,601.640195519338,636.259485629473,212.856565403709,192.640195519338,227.259485629473,226.687145031335,-1.0595761308021,-21.2759460151738,13.3433440949611,12.7710034968238,574.356893307487,635.687145031335,61.3302517238483
"4","200","10","150",0.5,0.106666666666667,0.559701492537313,361,258.146792443852,613.067495901812,593.38969399614,626.869398092321,252.067495901812,232.38969399614,265.869398092321,255.648466913193,-6.07929654204003,-25.7570984477121,7.72260564846891,-2.4983255306592,546.184564066942,616.648466913193,70.4639028462511
"5","200","10","150",0.5,0.0733333333333334,0.539568345323741,373,233.38437331646,553.921311183301,541.188635829568,572.373616089741,180.921311183301,168.188635829568,199.373616089741,205.023234091307,-52.4630621331591,-65.1957374868926,-34.0107572267191,-28.3611392251529,488.952512563933,578.023234091307,89.0707215273741
"6","200","10","150",0.52,0.106666666666667,0.582089552238806,393,253.396978913343,638.599329564519,629.074584172945,677.578698235256,245.599329564519,236.074584172945,284.578698235256,257.150542370182,-7.79764934882334,-17.3223947403975,31.1817193219131,3.75356345683909,533.659537284933,650.150542370182,116.491005085248
"7","200","10","150",0.5,0.0866666666666667,0.547445255474453,411,212.508112796229,590.685094072389,584.898311210877,605.530407818007,179.685094072389,173.898311210877,194.530407818007,204.816973974916,-32.82301872384,-38.609801585352,-17.9777049782222,-7.69113882131333,539.153770428474,615.816973974916,76.6632035464417
"8","200","10","150",0.5,0.0866666666666667,0.547445255474453,405,188.522143984989,570.157879587701,546.984650749277,589.187553089169,165.157879587701,141.984650749277,184.187553089169,185.16489045709,-23.3642643972875,-46.5374932357119,-4.33459089582033,-3.35725352789854,495.495069052412,590.16489045709,94.669821404678
"9","200","10","150",0.52,0.0933333333333334,0.573529411764706,383,245.175314746535,625.062013281049,598.187364785887,644.813755278109,242.062013281049,215.187364785887,261.813755278109,262.443588251153,-3.11330146548582,-29.9879499606477,16.6384405315746,17.2682735046186,539.752348027089,645.443588251153,105.691240224064
"10","200","10","150",0.52,0.106666666666667,0.582089552238806,441,202.915623957951,678.083227038627,649.433235647917,698.433986384719,237.083227038627,208.433235647917,257.433986384719,241.835384258955,34.1676030806763,5.51761168996606,54.5183624267674,38.9197603010035,553.094148635402,682.835384258955,129.741235623552
