"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","100","10","200",0.44,0.0933333333333334,0.485294117647059,504,222.014247314484,653.727048297087,644.106700864639,691.495121562243,149.727048297087,140.106700864639,187.495121562243,230.52969962372,-72.2871990173977,-81.9075464498454,-34.5191257522413,8.51545230923537
"2","100","10","200",0.56,0.08,0.608695652173913,436,228.092240724546,637.589198003968,599.915009182375,666.030261188563,201.589198003968,163.915009182375,230.030261188563,204.87537607457,-26.5030427205779,-64.1772315421703,1.93802046401703,-23.2168646499762
"3","100","10","200",0.44,0.12,0.5,464,223.392652679687,599.49546160482,583.529534213834,619.233195475642,135.49546160482,119.529534213834,155.233195475642,188.157671129032,-87.897191074867,-103.863118465853,-68.1594572040455,-35.2349815506555
"4","100","10","200",0.48,0.0933333333333334,0.529411764705882,436,225.148197761267,619.541604351814,607.602012627693,638.131556203788,183.541604351814,171.602012627693,202.131556203788,229.354888708696,-41.6065934094528,-53.546185133574,-23.0166415574786,4.20669094742982
"5","100","10","200",0.44,0.0533333333333333,0.464788732394366,548,215.486759148496,677.21529134065,667.956025073828,690.777984200892,129.21529134065,119.956025073828,142.777984200892,202.921668040845,-86.2714678078461,-95.5307340746685,-72.708774947604,-12.5650911076516
"6","100","10","200",0.52,0.133333333333333,0.6,500,219.219711728932,747.982688561259,717.540650597904,796.947391910343,247.982688561259,217.540650597904,296.947391910343,234.810800675056,28.7629768323271,-1.67906113102816,77.7276801814106,15.5910889461238
"7","100","10","200",0.52,0.106666666666667,0.582089552238806,524,231.19035267932,739.249449252711,700.709820350028,771.459691814234,215.249449252711,176.709820350028,247.459691814234,220.409121310447,-15.9409034266088,-54.4805323292924,16.2693391349142,-10.7812313688729
"8","100","10","200",0.52,0.12,0.590909090909091,380,238.183039956464,717.10664531072,695.58044663534,761.233776627612,337.10664531072,315.58044663534,381.233776627612,345.190707235611,98.9236053542568,77.3974066788762,143.050736671148,107.007667279147
"9","100","10","200",0.56,0.12,0.636363636363636,360,237.586640418083,657.656137092542,625.689037134949,707.553107437303,297.656137092542,265.689037134949,347.553107437303,257.350872719324,60.0694966744593,28.1023967168662,109.966467019219,19.7642323012408
"10","100","10","200",0.52,0.106666666666667,0.582089552238806,464,212.48582739579,617.90546073954,597.100077445359,646.593399847978,153.90546073954,133.100077445359,182.593399847978,175.133513237848,-58.5803666562504,-79.3857499504313,-29.892427547812,-37.3523141579422
