"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","800","20","1",0.505,0.2,0.63125,303.5,200.025355185373,482.072829154131,464.206067831221,505.40271822364,178.572829154131,160.706067831221,201.90271822364,161.328437225142,-21.4525260312419,-39.3192873541522,1.87736303826742,-38.6969179602305,449.602715516188,464.828437225142,15.2257217089543
"2","800","20","1",0.5,0.201666666666667,0.626304801670146,324.5,219.312973839025,532.940740194898,517.609245550837,562.18806655878,208.440740194898,193.109245550837,237.68806655878,195.058152674496,-10.8722336441267,-26.2037282881879,18.3750927197552,-24.2548211645286,503.601037218524,519.558152674496,15.9571154559724
"3","800","20","1",0.5,0.2,0.625,264,214.100977042814,473.279511095453,458.263049876977,495.350626412077,209.279511095453,194.263049876977,231.350626412077,194.278244135473,-4.82146594736113,-19.8379271658368,17.2496493692637,-19.8227329073404,442.100719588536,458.278244135473,16.1775245469379
"4","800","20","1",0.5,0.195,0.62111801242236,300.5,240.3374427455,499.078488432379,485.18685675611,523.420660840833,198.578488432379,184.68685675611,222.920660840833,181.576743423891,-41.7589543131214,-55.6505859893898,-17.4167819046667,-58.7606993216093,470.294775302332,482.076743423891,11.781968121559
"5","800","20","1",0.495,0.2,0.61875,325.5,189.615811547526,503.032367562519,489.883494646032,526.223949612173,177.532367562519,164.383494646032,200.723949612173,163.079007536248,-12.0834439850073,-25.2323169014936,11.108138064647,-26.5368040112775,471.367705195808,488.579007536248,17.2113023404408
"6","800","20","1",0.505,0.208333333333333,0.637894736842105,246,197.848116326488,444.381411191996,429.949113435142,464.612087725928,198.381411191996,183.949113435142,218.612087725928,180.724541076563,0.533294865508395,-13.899002891346,20.7639713994407,-17.1235752499247,393.651366939527,426.724541076563,33.0731741370361
"7","800","20","1",0.495,0.211666666666667,0.627906976744186,364,233.935925759741,584.364108168769,568.315754008911,612.978177359228,220.364108168769,204.315754008911,248.978177359228,205.516250728108,-13.5718175909712,-29.6201717508297,15.0422515994878,-28.419675031633,549.971511401177,569.516250728108,19.5447393269302
"8","800","20","1",0.5,0.185,0.613496932515337,269.5,234.299163485141,480.260182360998,466.730863290256,502.078362837476,210.760182360998,197.230863290256,232.578362837476,198.82206321395,-23.5389811241432,-37.0683001948851,-1.72080064766553,-35.4771002711909,450.07450180772,468.32206321395,18.2475614062305
"9","800","20","1",0.5,0.201666666666667,0.626304801670146,336,224.006195787182,541.724803946504,523.078836082158,564.166453263538,205.724803946504,187.078836082158,228.166453263538,191.810999124674,-18.2813918406781,-36.9273597050242,4.16025747635632,-32.1951966625084,508.72270372305,527.810999124674,19.0882954016234
"10","800","20","1",0.505,0.196666666666667,0.628630705394191,248.5,213.301607265426,448.91642291395,432.388414096644,468.633997229608,200.41642291395,183.888414096644,220.133997229608,184.34231206359,-12.8851843514758,-29.4131931687815,6.83238996418243,-28.9592952018353,412.066553589194,432.84231206359,20.775758474396
"11","800","20","1",0.5,0.198333333333333,0.623700623700624,276,219.014702696709,485.973004355074,471.212181871849,510.599337544552,209.973004355074,195.212181871849,234.599337544552,196.476642164185,-9.0416983416346,-23.8025208248599,15.584634847843,-22.5380605325235,451.524960426911,472.476642164185,20.9516817372744
"12","800","20","1",0.5,0.195,0.62111801242236,353.5,214.360857140424,552.58144195322,537.0342811312,575.96566009637,199.08144195322,183.5342811312,222.46566009637,184.382425153704,-15.2794151872039,-30.826576009224,8.10480295594562,-29.9784319867204,517.896246716396,537.882425153704,19.9861784373077
"13","800","20","1",0.5,0.203333333333333,0.627615062761506,317,244.591465757067,548.137551140457,531.665364953751,570.677020371928,231.137551140457,214.665364953751,253.677020371928,214.122710831978,-13.45391461661,-29.9261008033164,9.085554614861,-30.4687549250891,513.531475129477,531.122710831978,17.591235702501
"14","800","20","1",0.505,0.203333333333333,0.633891213389121,290.5,240.415135310408,512.416533148579,496.180235229361,537.449951129758,221.916533148579,205.680235229361,246.949951129758,207.357431478016,-18.4986021618296,-34.7349000810467,6.53481581935003,-33.057703832392,481.207106768325,497.857431478016,16.6503247096909
"15","800","20","1",0.495,0.186666666666667,0.608606557377049,275,251.208189235419,514.677112207098,502.538672724693,535.972608641381,239.677112207098,227.538672724693,260.972608641381,228.290994835081,-11.5310770283218,-23.6695165107264,9.76441940596169,-22.9171944003382,492.446360449561,503.290994835081,10.8446343855199
"16","800","20","1",0.505,0.198333333333333,0.62993762993763,232.5,265.094966057469,479.090677126972,461.985375055931,500.874602239129,246.590677126972,229.485375055931,268.374602239129,230.501375844113,-18.5042889304967,-35.6095910015372,3.27963618166035,-34.5935902133552,446.974094148183,463.001375844113,16.0272816959308
