"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff","sRT","goRT","raceCheck"
"1","400","20","150",0.5,0.203333333333333,0.627615062761506,409,224.226245180314,624.031020815344,585.964208681248,709.882724167296,215.031020815344,176.964208681248,300.882724167296,214.805508476296,-9.19522436496928,-47.2620364990655,76.6564789869824,-9.42073670401717,554.856987534919,623.805508476296,68.9485209413775
"2","400","20","150",0.48,0.196666666666667,0.597510373443983,495,193.224323936705,649.985371042682,607.153503480709,723.840616532778,154.985371042682,112.153503480709,228.840616532778,153.698282373532,-38.2389528940233,-81.0708204559961,35.6162925960728,-39.5260415631732,566.352832633362,648.698282373532,82.34544974017
"3","400","20","150",0.49,0.21,0.620253164556962,494,202.767243674784,661.196386309266,612.927376598565,732.065781417624,167.196386309266,118.927376598565,238.065781417624,163.41745500892,-35.5708573655183,-83.8398670762193,35.29853774284,-39.3497886658646,570.44100706535,657.41745500892,86.9764479435701
"4","400","20","150",0.51,0.193333333333333,0.632231404958678,515,198.948675708191,685.967234300183,651.368481559056,769.763245834141,170.967234300183,136.368481559056,254.763245834141,161.592419501592,-27.9814414080073,-62.5801941491344,55.8145701259508,-37.3562562065985,602.092170869531,676.592419501592,74.5002486320611
"5","400","20","150",0.49,0.2,0.6125,469,205.771095100344,663.701408153825,625.93553404233,741.667929462699,194.701408153825,156.93553404233,272.667929462699,202.291497423272,-11.0696869465188,-48.835561058014,66.896834362355,-3.47959767707198,571.001212337485,671.291497423272,100.290285085786
"6","400","20","150",0.5,0.203333333333333,0.627615062761506,468,208.196863251014,664.392649898176,631.339387744436,732.311194092961,196.392649898176,163.339387744436,264.311194092961,177.131421326733,-11.8042133528379,-44.8574755065777,56.1143308419468,-31.0654419242813,582.042308469166,645.131421326733,63.0891128575665
"7","400","20","150",0.5,0.183333333333333,0.612244897959184,425,202.888039984877,606.017865857229,564.837299804684,667.897901352268,181.017865857229,139.837299804684,242.897901352268,165.689834018575,-21.8701741276481,-63.0507401801934,40.0098613673911,-37.1982059663024,504.893485941103,590.689834018575,85.7963480774724
"8","400","20","150",0.49,0.2,0.6125,561,174.812412441196,711.425664281645,666.877455027752,802.634032002752,150.425664281645,105.877455027752,241.634032002752,152.466762799179,-24.3867481595502,-68.9349574134437,66.8216195615562,-22.3456496420164,627.329579236529,713.466762799179,86.1371835626499
"9","400","20","150",0.49,0.19,0.604938271604938,516,188.814741944769,639.184136114914,589.522141691167,706.719444429423,123.184136114914,73.5221416911673,190.719444429423,120.467911095398,-65.6306058298552,-115.292600253601,1.90470248465468,-68.3468308493703,597.219831377321,636.467911095398,39.2480797180773
"10","400","20","150",0.51,0.193333333333333,0.632231404958678,457,214.89221566991,648.173207873131,606.585851203496,713.979075111505,191.173207873131,149.585851203496,256.979075111505,174.072340403413,-23.7190077967787,-65.3063644664142,42.0868594415951,-40.8198752664967,546.626270067094,631.072340403413,84.4460703363189
"11","400","20","150",0.5,0.2,0.625,427,189.414780120521,621.27222661474,572.411319051678,722.024293901832,194.27222661474,145.411319051678,295.024293901832,196.688547489124,4.85744649421875,-44.0034610688426,105.609513781311,7.27376736860325,522.065969427327,623.688547489124,101.622578061797
"12","400","20","150",0.51,0.213333333333333,0.648305084745763,457,235.056190208251,729.23215375337,668.495852537037,833.137391773818,272.23215375337,211.495852537037,376.137391773818,252.354170704962,37.175963545119,-23.5603376712141,141.081201565566,17.2979804967105,592.929779016877,709.354170704962,116.424391688085
"13","400","20","150",0.49,0.216666666666667,0.625531914893617,475,229.766472750914,728.043552211826,678.351465672444,805.393515930238,253.043552211826,203.351465672444,330.393515930238,242.76233639817,23.2770794609122,-26.4150070784696,100.627043179324,12.9958636472569,619.274658666043,717.76233639817,98.4876777321272
"14","400","20","150",0.5,0.206666666666667,0.630252100840336,462,218.916414924582,690.784658206285,640.060552549413,774.152283482486,228.784658206285,178.060552549413,312.152283482486,220.413057840121,9.86824328170326,-40.8558623751687,93.2358685579042,1.4966429155387,594.262904753053,682.413057840121,88.1501530870675
"15","400","20","150",0.5,0.216666666666667,0.638297872340426,506,169.191671687422,661.033268016151,610.868497442334,780.262619565169,155.033268016151,104.868497442334,274.262619565169,148.124020867984,-14.1584036712708,-64.3231742450877,105.070947877747,-21.0676508194383,559.991535967111,654.124020867984,94.1324849008727
"16","400","20","150",0.49,0.203333333333333,0.615062761506276,539,170.096962093053,665.178698004755,608.012536638142,754.845011676606,126.178698004755,69.0125366381416,215.845011676606,117.463027580441,-43.9182640882981,-101.084425454912,45.7480495835533,-52.6339345126121,577.863817443946,656.463027580441,78.5992101364951
"17","400","20","150",0.49,0.2,0.6125,465,223.903824414692,636.478424275299,607.989228300602,712.028706237302,171.478424275299,142.989228300602,247.028706237302,184.899950613046,-52.4254001393926,-80.9145961140902,23.1248818226102,-39.0038738016462,578.427055903127,649.899950613046,71.4728947099188
"18","400","20","150",0.5,0.163333333333333,0.597609561752988,468,226.98214004598,618.654010465222,588.021545790152,659.626276675977,150.654010465222,120.021545790152,191.626276675977,147.118127360991,-76.3281295807572,-106.960594255827,-35.355863370003,-79.8640126849891,565.148029936404,615.118127360991,49.9700974245865
"19","400","20","150",0.49,0.203333333333333,0.615062761506276,464,209.490487209675,633.911035594398,590.383061390373,715.117573595326,169.911035594398,126.383061390373,251.117573595326,163.338452393854,-39.5794516152768,-83.1074258193022,41.6270863856513,-46.1520348158209,546.862915041533,627.338452393854,80.4755373523209
"20","400","20","150",0.5,0.2,0.625,469,193.056048829054,663.707106840043,616.840645834506,752.701970176091,194.707106840043,147.840645834506,283.701970176091,192.018001642393,1.65105801098912,-45.2154029945483,90.6459213470366,-1.03804718666129,591.582461062581,661.018001642393,69.4355405798113
"21","400","20","150",0.51,0.213333333333333,0.648305084745763,387,234.057449329782,628.126261078121,574.816126012834,739.021382603937,241.126261078121,187.816126012834,352.021382603937,225.200604042988,7.06881174833873,-46.241323316948,117.963933274155,-8.85684528679425,534.330198557258,612.200604042988,77.8704054857295
"22","400","20","150",0.48,0.22,0.615384615384615,458,213.915987959163,687.092936787419,631.15161531619,802.900043881549,229.092936787419,173.15161531619,344.900043881549,224.808897044831,15.1769488282562,-40.7643726429733,130.984055922386,10.8929090856683,571.939445514866,682.808897044831,110.869451529966
"23","400","20","150",0.49,0.213333333333333,0.622881355932203,518,203.825189280372,703.087525768993,655.137612758386,803.311773349685,185.087525768993,137.137612758386,285.311773349685,177.127493675785,-18.7376635113791,-66.6875765219862,81.4865840693137,-26.697695604587,607.964196084934,695.127493675785,87.1632975908508
"24","400","20","150",0.48,0.19,0.592592592592593,481,221.334930628666,643.124111100033,611.070336098028,689.140498460129,162.124111100033,130.070336098028,208.140498460129,163.296635115692,-59.210819528633,-91.2645945306388,-13.1944321685369,-58.0382955129747,578.766496564583,644.296635115692,65.5301385511091
"25","400","20","150",0.5,0.183333333333333,0.612244897959184,480,167.002071115258,623.874043075561,581.30327690649,695.228336123686,143.874043075561,101.30327690649,215.228336123686,145.132610903619,-23.1280280396971,-65.6987942087677,48.2262650084281,-21.8694602116386,527.81438204826,625.132610903619,97.3182288553598
"26","400","20","150",0.49,0.206666666666667,0.617647058823529,515,214.680793935671,781.486340727031,726.932359173375,885.809103835542,266.486340727031,211.932359173375,370.809103835542,258.166572450575,51.8055467913601,-2.74843476229597,156.128309899871,43.4857785149039,653.479891132891,773.166572450575,119.686681317684
"27","400","20","150",0.5,0.22,0.641025641025641,533,200.720358280786,728.979806686871,677.760380783839,834.979316242086,195.979806686871,144.760380783839,301.979316242086,187.962682542774,-4.74055159391426,-55.9599774969464,101.258957961301,-12.7576757380121,624.532097787178,720.962682542774,96.4305847555955
"28","400","20","150",0.48,0.196666666666667,0.597510373443983,497,225.845830531472,696.280830288828,660.699846033051,768.538064543218,199.280830288828,163.699846033051,271.538064543218,217.474079580974,-26.565000242644,-62.1459844984209,45.6922340117452,-8.37175095049869,622.472235491599,714.474079580974,92.0018440893747
"29","400","20","150",0.51,0.203333333333333,0.640167364016736,439,185.599628643496,615.807714159904,571.370221036489,704.256079074083,176.807714159904,132.370221036489,265.256079074083,170.098448939785,-8.79191448359202,-53.2294076070063,79.6564504305878,-15.501179703711,522.831554961312,609.098448939785,86.2668939784722
"30","400","20","150",0.5,0.203333333333333,0.627615062761506,425,209.682980707475,613.278268340508,566.817979446651,699.395278235414,188.278268340508,141.817979446651,274.395278235414,177.530365080807,-21.4047123669671,-67.8650012608243,64.7122975279381,-32.1526156266684,531.09419849265,602.530365080807,71.4361665881572
"31","400","20","150",0.49,0.206666666666667,0.617647058823529,479,195.618070396345,709.493142672475,654.032909452381,817.124285351821,230.493142672475,175.032909452381,338.124285351821,232.420680861776,34.8750722761301,-20.5851609439642,142.506214955476,36.8026104654312,572.683699216592,711.420680861776,138.736981645185
"32","400","20","150",0.48,0.16,0.571428571428571,542,220.639811685857,627.221954393756,599.550622574163,678.999725419419,85.2219543937561,57.5506225741628,136.999725419419,100.879831656083,-135.417857292101,-163.089189111694,-83.6400862664374,-119.759980029773,580.151292190703,642.879831656083,62.7285394653809
"33","400","20","150",0.5,0.18,0.609756097560976,472,176.863390097601,676.742032302465,636.597158637623,738.799724293482,204.742032302465,164.597158637623,266.799724293482,209.660043227311,27.8786422048637,-12.2662314599784,89.9363341958812,32.7966531297099,588.261051887557,681.660043227311,93.3989913397543
"34","400","20","150",0.49,0.216666666666667,0.625531914893617,556,205.530269532511,777.339589687927,751.349244945581,871.748760074003,221.339589687927,195.349244945581,315.748760074003,218.119060956927,15.8093201554158,-10.1810245869296,110.218490541492,12.5887914244161,693.650406999047,774.119060956927,80.4686539578795
"35","400","20","150",0.49,0.196666666666667,0.609958506224066,515,215.704341697651,680.932596968696,640.223044973879,731.205944360184,165.932596968696,125.223044973879,216.205944360184,150.561517657688,-49.7717447289554,-90.4812967237719,0.501602662532832,-65.1428240399633,609.850424881218,665.561517657688,55.71109277647
"36","400","20","150",0.5,0.2,0.625,453,226.075337790609,628.224740878291,580.50532299112,705.685442209598,175.224740878291,127.50532299112,252.685442209598,166.909161500621,-50.8505969123173,-98.5700147994888,26.6101044189892,-59.1661762899875,561.831886032268,619.909161500621,58.077275468353
"37","400","20","150",0.49,0.203333333333333,0.615062761506276,474,241.850564436286,686.948393188616,642.46319615144,756.469311686541,212.948393188616,168.46319615144,282.469311686541,205.522316916713,-28.9021712476696,-73.3873682848463,40.6187472502555,-36.3282475195734,591.64141547455,679.522316916713,87.8809014421626
"38","400","20","150",0.5,0.196666666666667,0.622406639004149,417,193.039399371121,588.239170001025,542.195347818119,661.610384376855,171.239170001025,125.195347818119,244.610384376855,158.566705802045,-21.8002293700965,-67.8440515530025,51.5709850057344,-34.4726935690764,513.127980404432,575.566705802045,62.4387253976123
"39","400","20","150",0.51,0.203333333333333,0.640167364016736,465,201.914893879933,624.049823303598,585.007118406925,717.534921469795,159.049823303598,120.007118406925,252.534921469795,157.026265291467,-42.8650705763347,-81.9077754730079,50.6200275898619,-44.8886285884661,582.441238783692,622.026265291467,39.5850265077742
"40","400","20","150",0.5,0.193333333333333,0.619834710743802,441,217.281775483854,627.008208248632,595.01611615705,702.563664479201,186.008208248632,154.01611615705,261.563664479201,192.288650604288,-31.2735672352213,-63.2656593268039,44.2818889953472,-24.9931248795652,559.788543065422,633.288650604288,73.5001075388662
"41","400","20","150",0.49,0.19,0.604938271604938,440,171.397381573955,565.257332306622,536.973863114135,639.152034701931,125.257332306622,96.9738631141352,199.152034701931,147.501936083255,-46.1400492673323,-74.4235184598195,27.7546531279762,-23.8954454906998,508.861523882962,587.501936083255,78.6404122002925
"42","400","20","150",0.5,0.196666666666667,0.622406639004149,458,205.992385871833,667.135918465563,629.511880830967,745.771543666404,209.135918465563,171.511880830967,287.771543666404,200.572356076615,3.1435325937303,-34.480505040866,81.7791577945711,-5.42002979521754,545.315657346492,658.572356076615,113.256698730123
"43","400","20","150",0.49,0.186666666666667,0.602459016393443,452,213.290730846095,624.872279197949,590.96571030654,686.284995300503,172.872279197949,138.96571030654,234.284995300503,176.315132011416,-40.4184516481459,-74.3250205395555,20.994264454408,-36.9755988346789,554.823956889467,628.315132011416,73.4911751219497
"44","400","20","150",0.51,0.21,0.645569620253165,491,225.97699605548,723.485692999479,656.234499178478,820.435635849263,232.485692999479,165.234499178478,329.435635849263,195.457602037766,6.50869694399941,-60.742496877002,103.458639793783,-30.519394017713,605.184922048622,686.457602037766,81.2726799891449
"45","400","20","150",0.49,0.203333333333333,0.615062761506276,488,166.803111700028,618.873596056165,582.021844593715,700.51770750969,130.873596056165,94.0218445937146,212.51770750969,138.132708757715,-35.9295156438631,-72.7812671063138,45.714595809662,-28.6704029423132,543.126858026935,626.132708757715,83.0058507307803
"46","400","20","150",0.5,0.216666666666667,0.638297872340426,407,205.322423347062,639.074530578092,597.313800238201,713.278488016959,232.074530578092,190.313800238201,306.278488016959,214.907163917167,26.7521072310302,-15.0086231088615,100.956064669897,9.58474057010523,513.000673340466,621.907163917167,108.906490576702
"47","400","20","150",0.52,0.19,0.641975308641975,365,221.366190479909,561.542870212686,519.601350599267,647.766557615924,196.542870212686,154.601350599267,282.766557615924,182.991452037745,-24.8233202672234,-66.7648398806422,61.4003671360148,-38.3747384421642,465.203465659347,547.991452037745,82.7879863783981
"48","400","20","150",0.52,0.216666666666667,0.663829787234043,448,217.282357886931,710.951192249079,644.852621007313,855.835858871227,262.951192249079,196.852621007313,407.835858871227,239.394480087264,45.6688343621473,-20.4297368796178,190.553500984296,22.1121222003325,584.481208819785,687.394480087264,102.913271267478
"49","400","20","150",0.5,0.21,0.632911392405063,550,180.556284720215,726.059121361399,673.391446460017,826.978648187534,176.059121361399,123.391446460017,276.978648187534,174.574852209572,-4.49716335881666,-57.1648382601985,96.4223634673182,-5.98143251064332,628.437627633886,724.574852209572,96.1372245756855
"50","400","20","150",0.49,0.2,0.6125,566,195.467450287239,707.882900381086,667.447665657969,821.349108135066,141.882900381086,101.447665657969,255.349108135066,151.402264811141,-53.5845499061527,-94.0197846292701,59.8816578478271,-44.0651854760981,622.04734589791,717.402264811141,95.354918913231
"51","400","20","150",0.49,0.21,0.620253164556962,445,203.33851733385,649.329080733418,604.97772233001,738.499752125561,204.329080733418,159.97772233001,293.499752125561,198.49021143886,0.990563399568032,-43.3607950038398,90.1612347917111,-4.84830589498995,557.860960216903,643.49021143886,85.6292512219565
"52","400","20","150",0.49,0.2,0.6125,483,197.590551709525,679.178803830159,641.808347213945,750.613427878862,196.178803830159,158.808347213945,267.613427878862,184.883797437617,-1.41174787936544,-38.7822044955803,70.0228761693371,-12.7067542719078,579.38545436338,667.883797437617,88.4983430742371
"53","400","20","150",0.5,0.226666666666667,0.646551724137931,461,180.999370171181,675.354896897648,630.05320437742,781.073496022402,214.354896897648,169.05320437742,320.073496022402,204.522445562812,33.3555267264673,-11.9461657937614,139.074125851221,23.523075391631,554.82244463519,665.522445562812,110.700000927622
"54","400","20","150",0.51,0.206666666666667,0.642857142857143,426,240.609895437101,655.75962501043,602.239580670947,784.30254909054,229.75962501043,176.239580670947,358.30254909054,219.61867388025,-10.8502704266706,-64.3703147661533,117.69265365344,-20.9912215568506,571.031018523051,645.61867388025,74.5876553571987
"55","400","20","150",0.5,0.206666666666667,0.630252100840336,376,210.404844320236,582.995968448444,530.247823934018,671.434205650557,206.995968448444,154.247823934018,295.434205650557,198.367313185112,-3.40887587179199,-56.1570203862182,85.0293613303208,-12.0375311351234,490.191540309833,574.367313185112,84.1757728752797
"56","400","20","150",0.51,0.2,0.6375,439,192.439430828326,566.391084075842,534.733369280238,659.814378694857,127.391084075842,95.7333692802381,220.814378694857,127.904097015038,-65.048346752484,-96.7060615480883,28.3749478665304,-64.5353338132887,499.264002891962,566.904097015038,67.640094123076
"57","400","20","150",0.51,0.203333333333333,0.640167364016736,466,206.266679740739,695.723664107514,637.680551935586,791.218101851435,229.723664107514,171.680551935586,325.218101851435,217.582296888847,23.4569843667746,-34.5861278051534,118.951422110696,11.3156171481078,579.70652736682,683.582296888847,103.875769522027
"58","400","20","150",0.5,0.196666666666667,0.622406639004149,413,214.724906378147,660.905576011576,624.311166313625,729.155691798134,247.905576011576,211.311166313625,316.155691798134,243.194629384789,33.1806696334292,-3.41374006452219,101.430785419987,28.4697230066423,548.222664844593,656.194629384789,107.971964540196
"59","400","20","150",0.49,0.206666666666667,0.617647058823529,473,198.359286152366,677.878340553556,632.87674018346,759.404736978673,204.878340553556,159.87674018346,286.404736978673,196.290425436277,6.51905440118995,-38.4825459689067,88.0454508263071,-2.0688607160898,585.247937422993,669.290425436277,84.0424880132833
"60","400","20","150",0.49,0.226666666666667,0.633620689655172,450,209.687018765587,732.690989480141,681.427289987091,862.688060868961,282.690989480141,231.427289987091,412.688060868961,265.631355137874,73.0039707145545,21.7402712215041,203.001042103374,55.9443363722871,603.703098971422,715.631355137874,111.928256166452
"61","400","20","150",0.5,0.206666666666667,0.630252100840336,372,199.074073535818,583.422409001195,536.01331472572,677.47681956183,211.422409001195,164.01331472572,305.47681956183,192.369848289119,12.3483354653768,-35.0607588100983,106.402746026012,-6.70422524669985,470.246884067069,564.369848289119,94.1229642220501
"62","400","20","150",0.49,0.2,0.6125,525,194.601081212954,694.921452867968,667.733025658532,756.54245517442,169.921452867968,142.733025658532,231.54245517442,173.427037028748,-24.6796283449859,-51.8680555544214,36.941373961466,-21.1740441842055,624.097955256121,698.427037028748,74.329081772627
"63","400","20","150",0.5,0.2,0.625,426,213.026449669194,672.477181810082,628.71128280782,756.601596899538,246.477181810082,202.71128280782,330.601596899538,245.520249599153,33.4507321408887,-10.3151668613741,117.575147230345,32.4937999299594,558.306207791176,671.520249599153,113.214041807977
"64","400","20","150",0.5,0.206666666666667,0.630252100840336,488,193.265741726389,678.039765508233,634.769870941548,752.901949302987,190.039765508233,146.769870941548,264.901949302987,174.25125894288,-3.22597621815538,-46.4958707848406,71.6362075765981,-19.0144827835084,594.533934359596,662.25125894288,67.7173245832848
"65","400","20","150",0.48,0.19,0.592592592592593,501,236.911300206009,661.403581047504,629.994870789093,728.877141729632,160.403581047504,128.994870789093,227.877141729632,181.41747494748,-76.5077191585053,-107.916429416916,-9.0341584763778,-55.4938252585292,606.962887859549,682.41747494748,75.454587087931
"66","400","20","150",0.51,0.193333333333333,0.632231404958678,450,221.66737634754,641.464366047415,608.582621661287,727.000567558641,191.464366047415,158.582621661287,277.000567558641,193.249496325196,-30.2030103001253,-63.0847546862537,55.3331912111005,-28.4178800223442,552.084580258194,643.249496325196,91.1649160670024
"67","400","20","150",0.5,0.196666666666667,0.622406639004149,515,205.685051824491,658.531029335347,617.399846905754,736.196128144991,143.531029335347,102.399846905754,221.196128144991,139.856128464446,-62.1540224891442,-103.285204918737,15.5110763204997,-65.8289233600454,590.068864937661,654.856128464446,64.7872635267844
"68","400","20","150",0.5,0.19,0.617283950617284,429,200.701180523286,653.907144508314,611.764769627677,725.331549059431,224.907144508314,182.764769627677,296.331549059431,215.625935869262,24.2059639850278,-17.9364108956094,95.6303685361449,14.924755345976,542.298437252508,644.625935869262,102.327498616754
"69","400","20","150",0.52,0.196666666666667,0.647302904564315,356,229.466587588347,516.457944678669,480.641830297659,633.295705001533,160.457944678669,124.641830297659,277.295705001533,153.694080119825,-69.0086429096783,-104.824757290688,47.8291174131864,-75.7725074685218,440.103947474833,509.694080119825,69.5901326449919
"70","400","20","150",0.5,0.196666666666667,0.622406639004149,441,213.272723293945,610.673566351496,568.60293628734,677.87573722309,169.673566351496,127.60293628734,236.87573722309,171.826679413559,-43.599156942449,-85.6697870066047,23.6030139291451,-41.4460438803864,534.989747880796,612.826679413559,77.8369315327623
"71","400","20","150",0.51,0.196666666666667,0.634854771784232,408,222.359880106908,605.667020108119,551.577950949737,688.580335634392,197.667020108119,143.577950949737,280.580335634392,178.19756872167,-24.6928599987895,-78.7819291571712,58.2204555274842,-44.1623113852376,503.515418571079,586.19756872167,82.6821501505913
"72","400","20","150",0.52,0.203333333333333,0.652719665271967,365,254.705235601337,603.351160678195,547.469608641395,685.506474134479,238.351160678195,182.469608641395,320.506474134479,218.956249322075,-16.3540749231419,-72.2356269599414,65.8012385331422,-35.7489862792613,505.920786424969,583.956249322075,78.0354628971064
"73","400","20","150",0.5,0.213333333333333,0.635593220338983,431,254.409060508105,665.328480177158,625.590879618518,734.705386076662,234.328480177158,194.590879618518,303.705386076662,220.345645939032,-20.0805803309468,-59.8181808895865,49.2963255685573,-34.0634145690721,576.802944809366,651.345645939032,74.5427011296667
"74","400","20","150",0.51,0.216666666666667,0.651063829787234,436,209.03354231505,647.402035765975,599.563033082448,738.706102588508,211.402035765975,163.563033082448,302.706102588508,196.123279700449,2.3684934509246,-45.4705092326018,93.6725602734579,-12.9102626146015,546.484185287526,632.123279700449,85.6390944129223
"75","400","20","150",0.5,0.2,0.625,504,237.274014141181,722.344123141315,680.598056571248,819.140610520264,218.344123141315,176.598056571248,315.140610520264,217.392959570935,-18.9298909998661,-60.6759575699331,77.8665963790829,-19.8810545702459,646.890543115763,721.392959570935,74.5024164551718
