"subject","Ntrials","pmissReq","tau","presp","pmiss","presp_adj","ssd","SSRTtrue","nthRT_all","nthRT_resp","nthRT_adj","SSRTall","SSRTresp","SSRTadj","SSRTmean","SSRTall_diff","SSRTresp_diff","SSRTadj_diff","SSRTmean_diff"
"1","200","5","200",0.52,0.0533333333333333,0.549295774647887,357,244.897012114817,592.480596182597,579.518222367623,604.01487797231,235.480596182597,222.518222367623,247.01487797231,274.839230043662,-9.41641593221979,-22.3787897471937,2.11786585749329,29.9422179288455
"2","200","5","200",0.52,0.0600000000000001,0.553191489361702,427,223.542861568464,670.171866865029,652.188208988557,693.729995510214,243.171866865029,225.188208988557,266.729995510214,272.021813428327,19.629005296565,1.64534742009346,43.1871339417505,48.4789518598634
"3","200","5","200",0.5,0.0600000000000001,0.531914893617021,425,253.518032089797,704.126635282051,689.411948461308,720.58366303057,279.126635282051,264.411948461308,295.58366303057,304.182047261129,25.6086031922537,10.8939163715105,42.0656309407727,50.6640151713315
"4","200","5","200",0.48,0.04,0.5,525,219.873835310981,708.269911853054,701.984630429352,712.674392930492,183.269911853054,176.984630429352,187.674392930492,226.673284342137,-36.6039234579271,-42.8892048816297,-32.1994423804895,6.79944903115552
"5","200","5","200",0.48,0.04,0.5,543,202.008404296761,676.488545786445,669.167061871127,688.990179103184,133.488545786445,126.167061871127,145.990179103184,195.707440199401,-68.5198585103165,-75.8413424256344,-56.0182251935769,-6.30096409735964
"6","200","5","200",0.52,0.04,0.541666666666667,407,263.687648065907,682.470219856681,673.94773411017,687.00551693256,275.470219856681,266.94773411017,280.00551693256,305.025937099812,11.7825717907741,3.26008604426357,16.3178688666537,41.3382890339053
"7","200","5","200",0.52,0.0466666666666666,0.545454545454545,429,281.515526007278,698.444064009678,692.864583649907,712.332373381378,269.444064009678,263.864583649907,283.332373381378,300.052099084994,-12.0714619976004,-17.6509423573707,1.81684737410046,18.5365730777158
"8","200","5","200",0.5,0.0600000000000001,0.531914893617021,429,234.290686993705,694.223782038931,681.019149503452,704.010184018335,265.223782038931,252.019149503452,275.010184018335,290.277327599525,30.9330950452262,17.7284625097467,40.7194970246298,55.9866406058198
"9","200","5","200",0.52,0.04,0.541666666666667,451,241.68032068077,613.940496153513,608.509763896869,616.362016776139,162.940496153513,157.509763896869,165.362016776139,211.625152631563,-78.7398245272576,-84.1705567839015,-76.3183039046314,-30.0551680492077
"10","200","5","200",0.5,0.04,0.520833333333333,543,209.546655683428,768.403801869988,748.657393295089,788.965500540727,225.403801869988,205.657393295089,245.965500540727,256.311187824628,15.8571461865596,-3.88926238833966,36.4188448572983,46.7645321411993
"11","200","5","200",0.52,0.0466666666666666,0.545454545454545,503,224.711038447292,720.760462115205,712.088052267259,731.801208487325,217.760462115205,209.088052267259,228.801208487325,223.180855482626,-6.95057633208725,-15.6229861800333,4.09017004003331,-1.53018296466561
"12","200","5","200",0.54,0.0533333333333333,0.570422535211268,365,243.739450793603,649.122639394033,642.624860748393,656.983631464681,284.122639394033,277.624860748393,291.983631464681,302.159742026443,40.3831886004299,33.8854099547896,48.2441806710782,58.4202912328401
"13","200","5","200",0.5,0.0333333333333333,0.517241379310345,331,229.880085860093,541.160640984669,537.247965989494,545.948579722517,210.160640984669,206.247965989494,214.948579722517,257.511370601305,-19.719444875424,-23.632119870599,-14.931506137576,27.631284741212
"14","200","5","200",0.52,0.0333333333333333,0.537931034482759,399,216.21149888765,569.614811902842,563.294462940801,580.037862811014,170.614811902842,164.294462940801,181.037862811014,210.489372981588,-45.5966869848083,-51.9170359468492,-35.1736360766367,-5.72212590606219
"15","200","5","200",0.52,0.04,0.541666666666667,415,232.154559895206,683.955884645844,678.016760795976,695.645330647309,268.955884645844,263.016760795976,280.645330647309,301.805244161253,36.8013247506382,30.8622009007694,48.4907707521031,69.6506842660472
"16","200","5","200",0.52,0.0333333333333333,0.537931034482759,397,236.784922565048,606.276663925393,599.247716105096,616.731447557671,209.276663925393,202.247716105096,219.731447557671,257.228911715385,-27.508258639655,-34.537206459952,-17.0534750073763,20.4439891503377
"17","200","5","200",0.5,0.0466666666666666,0.524475524475524,451,259.374033458165,674.599134328072,655.466686127568,683.574390562336,223.599134328072,204.466686127568,232.574390562336,238.61236027862,-35.7748991300933,-54.9073473305975,-26.7996428958289,-20.7616731795453
"18","200","5","200",0.52,0.0466666666666666,0.545454545454545,415,242.78072096373,676.512780002362,668.429163659749,691.751005686604,261.512780002362,253.429163659749,276.751005686604,322.550997739348,18.7320590386318,10.6484426960192,33.9702847228738,79.7702767756178
"19","200","5","200",0.48,0.04,0.5,457,234.452953844979,613.94217168458,604.660962153635,626.3716302261,156.94217168458,147.660962153635,169.3716302261,211.827529471154,-77.5107821603985,-86.7919916913431,-65.0813236188781,-22.625424373825
"20","200","5","200",0.52,0.0333333333333333,0.537931034482759,435,176.068974057086,571.423054640887,568.29296943003,572.984579188016,136.423054640887,133.29296943003,137.984579188016,170.551074499485,-39.6459194161992,-42.7760046270557,-38.0843948690694,-5.5178995576012
"21","200","5","200",0.48,0.04,0.5,523,229.787421652189,730.612172536133,726.352068348134,742.143332445181,207.612172536133,203.352068348134,219.143332445181,261.862135501321,-22.1752491160557,-26.4353533040547,-10.6440892070073,32.0747138491323
"22","200","5","200",0.52,0.04,0.541666666666667,517,209.441192924975,659.179320619789,648.334532532074,668.560906428325,142.179320619789,131.334532532074,151.560906428325,184.632551299497,-67.2618723051867,-78.1066603929007,-57.8802864966504,-24.8086416254785
"23","200","5","200",0.5,0.0333333333333333,0.517241379310345,491,259.333993010402,699.286028396745,681.346612125479,704.239179517547,208.286028396745,190.346612125479,213.239179517547,234.33997283286,-51.0479646136562,-68.9873808849227,-46.0948134928551,-24.9940201775418
"24","200","5","200",0.54,0.04,0.5625,383,258.665726914811,660.150631754482,646.063001517457,668.782477015217,277.150631754482,263.063001517457,285.782477015217,306.366472382524,18.4849048396715,4.39727460264623,27.1167501004056,47.700745467713
"25","200","5","200",0.54,0.0466666666666666,0.566433566433566,389,256.171877487366,653.962563681866,635.384884589211,662.325253943598,264.962563681866,246.384884589211,273.325253943598,289.128794277755,8.79068619449919,-9.7869928981558,17.1533764562318,32.9569167903882
"26","200","5","200",0.52,0.0466666666666666,0.545454545454545,375,211.070598752642,559.762859894947,550.612650646209,572.399769967184,184.762859894947,175.612650646209,197.399769967184,211.783894674907,-26.3077388576949,-35.4579481064333,-13.6708287854582,0.713295922264422
"27","200","5","200",0.52,0.0466666666666666,0.545454545454545,387,228.914191528785,565.86830104618,559.905482597193,581.36945366814,178.86830104618,172.905482597193,194.36945366814,218.900464491357,-50.0458904826051,-56.0087089315918,-34.5447378606451,-10.0137270374279
"28","200","5","200",0.52,0.0466666666666666,0.545454545454545,439,243.222060100746,651.255818396049,639.654382018396,668.916989356329,212.255818396049,200.654382018396,229.916989356329,262.238606007356,-30.9662417046969,-42.5676780823492,-13.3050707444164,19.0165459066105
"29","200","5","200",0.52,0.0533333333333333,0.549295774647887,429,257.707870625213,712.262791405949,685.791288465204,726.103646499318,283.262791405949,256.791288465204,297.103646499318,289.14219629321,25.5549207807357,-0.916582160009114,39.3957758741049,31.4343256679963
"30","200","5","200",0.54,0.0466666666666666,0.566433566433566,379,245.016141392478,595.247161067801,583.696465684629,608.284744020747,216.247161067801,204.696465684629,229.284744020747,254.636497949582,-28.7689803246776,-40.3196757078491,-15.7313973717314,9.62035655710383
"31","200","5","200",0.54,0.0666666666666667,0.578571428571429,269,255.300750714893,573.789254131844,562.796698034275,587.761433611842,304.789254131844,293.796698034275,318.761433611842,331.657606074471,49.4885034169512,38.4959473193821,63.460682896949,76.3568553595782
"32","200","5","200",0.52,0.04,0.541666666666667,403,202.437166424452,667.666712392493,657.24365523711,676.094378879418,264.666712392493,254.24365523711,273.094378879418,308.82226513189,62.229545968041,51.8064888126584,70.6572124549658,106.385098707438
"33","200","5","200",0.5,0.0266666666666666,0.513698630136986,493,236.584996048863,618.804199694409,611.787559408381,627.255125528395,125.804199694409,118.787559408381,134.255125528395,176.987945773318,-110.780796354455,-117.797436640483,-102.329870520469,-59.5970502755457
"34","200","5","200",0.54,0.0466666666666666,0.566433566433566,441,224.511709582093,662.339287097796,646.900849653104,676.824419822206,221.339287097796,205.900849653104,235.824419822206,252.915422253718,-3.17242248429733,-18.6108599289896,11.3127102401129,28.4037126716242
"35","200","5","200",0.52,0.0466666666666666,0.545454545454545,427,228.88039704172,690.192630178135,672.919376745755,698.051374041807,263.192630178135,245.919376745755,271.051374041807,269.788192917178,34.312233136415,17.0389797040342,42.1709770000862,40.9077958754576
"36","200","5","200",0.5,0.0533333333333333,0.528169014084507,415,220.754797212192,611.194517619372,604.757153241267,624.060649623765,196.194517619372,189.757153241267,209.060649623765,229.856973889845,-24.5602795928205,-30.9976439709253,-11.6941475884272,9.10217667765286
"37","200","5","200",0.5,0.0533333333333333,0.528169014084507,501,221.941839298381,726.466480316474,719.67508644714,759.87970562132,225.466480316474,218.67508644714,258.87970562132,273.705596838427,3.52464101809312,-3.26675285124111,36.9378663229387,51.7637575400458
"38","200","5","200",0.5,0.0466666666666666,0.524475524475524,449,235.614094818242,669.310760630448,660.331766958779,671.428724870682,220.310760630448,211.331766958779,222.428724870682,258.709426581963,-15.3033341877943,-24.2823278594628,-13.1853699475595,23.0953317637213
"39","200","5","200",0.52,0.04,0.541666666666667,439,255.111865708121,659.369359515013,641.34275845705,671.542534397979,220.369359515013,202.34275845705,232.542534397979,265.847105157038,-34.7425061931074,-52.7691072510704,-22.5693313101423,10.7352394489176
"40","200","5","200",0.54,0.04,0.5625,385,244.679832847648,610.957258623783,603.757717565307,616.431098641864,225.957258623783,218.757717565307,231.431098641864,256.911116260991,-18.7225742238646,-25.9221152823409,-13.248734205784,12.231283413343
"41","200","5","200",0.52,0.04,0.541666666666667,509,249.153494607966,693.368493936545,676.837546046729,700.76767182402,184.368493936545,167.837546046729,191.76767182402,215.404477546861,-64.7850006714205,-81.3159485612372,-57.3858227839458,-33.749017061105
"42","200","5","200",0.5,0.04,0.520833333333333,483,223.580979373771,703.365902112203,693.662239024635,710.586007314277,220.365902112203,210.662239024635,227.586007314277,238.572941126265,-3.2150772615683,-12.9187403491359,4.00502794050584,14.9919617524935
"43","200","5","200",0.48,0.04,0.5,615,214.343055091864,750.013542391437,747.693715853528,763.60452877735,135.013542391437,132.693715853528,148.60452877735,185.90364855932,-79.3295127004271,-81.6493392383368,-65.7385263145146,-28.4394065325448
"44","200","5","200",0.52,0.0466666666666666,0.545454545454545,433,277.015815961743,636.831452388765,630.764095612492,644.579325709385,203.831452388765,197.764095612492,211.579325709385,256.121102825976,-73.1843635729782,-79.2517203492512,-65.4364902523589,-20.8947131357669
"45","200","5","200",0.48,0.0466666666666666,0.503496503496503,491,198.664873886314,687.793654884881,677.682132982863,700.920416336009,196.793654884881,186.682132982863,209.920416336009,251.358565266123,-1.87121900143325,-11.9827409034513,11.2555424496943,52.6936913798091
"46","200","5","200",0.5,0.0533333333333333,0.528169014084507,429,212.125627246406,634.439412784412,622.258884215709,648.500380629743,205.439412784412,193.258884215709,219.500380629743,236.956553149563,-6.68621446199396,-18.8667430306969,7.37475338333692,24.8309259031576
"47","200","5","200",0.52,0.0666666666666667,0.557142857142857,465,236.136561073561,781.533758890152,759.061037899369,799.466601634272,316.533758890152,294.061037899369,334.466601634272,336.74349738161,80.397197816591,57.924476825808,98.3300405607113,100.60693630805
"48","200","5","200",0.48,0.0466666666666666,0.503496503496503,541,221.419888783654,686.997723495686,683.17687559467,698.242057870171,145.997723495686,142.17687559467,157.242057870171,205.776403285722,-75.4221652879683,-79.243013188984,-64.1778309134839,-15.6434854979328
"49","200","5","200",0.52,0.0533333333333333,0.549295774647887,469,245.924182356289,670.071848232279,657.918107148361,674.310246487406,201.071848232279,188.918107148361,205.310246487406,215.207617071583,-44.8523341240096,-57.0060752079276,-40.6139358688833,-30.7165652847056
"50","200","5","200",0.52,0.0466666666666666,0.545454545454545,415,230.38197798312,656.521391709049,644.507434424874,667.571226111717,241.521391709049,229.507434424874,252.571226111717,255.303550620547,11.1394137259291,-0.874543558245222,22.1892481285976,24.921572637427
"51","200","5","200",0.52,0.0533333333333333,0.549295774647887,445,236.118708241578,663.495402254395,646.678745222188,677.318239567628,218.495402254395,201.678745222188,232.318239567628,247.278163296884,-17.6233059871837,-34.4399630193902,-3.80046867395072,11.1594550553057
"52","200","5","200",0.5,0.0333333333333333,0.517241379310345,535,249.258285326491,761.805743405283,756.278731717498,769.745445054964,226.805743405283,221.278731717498,234.745445054964,260.499159565267,-22.4525419212086,-27.9795536089934,-14.5128402715275,11.2408742387757
"53","200","5","200",0.54,0.0533333333333333,0.570422535211268,497,247.961658410068,696.048301342607,683.607449096052,703.175497993889,199.048301342607,186.607449096052,206.175497993889,216.605081618073,-48.9133570674607,-61.3542093140156,-41.7861604161787,-31.3565767919947
"54","200","5","200",0.48,0.0533333333333333,0.507042253521127,509,228.773535558799,736.142804278067,733.917937353896,742.445564568351,227.142804278067,224.917937353896,233.445564568351,297.862437295601,-1.63073128073137,-3.85559820490238,4.67202900955266,69.0889017368018
"55","200","5","200",0.52,0.0600000000000001,0.553191489361702,491,217.614452819152,737.856575665722,721.210943601688,753.030568332799,246.856575665722,230.210943601688,262.030568332799,269.251173849406,29.2421228465701,12.5964907825359,44.4161155136464,51.6367210302541
"56","200","5","200",0.52,0.0533333333333333,0.549295774647887,489,217.687159240082,670.400256271625,657.2012772397,685.472281540441,181.400256271625,168.2012772397,196.472281540441,237.079660984411,-36.2869029684574,-49.4858820003822,-21.2148776996408,19.3925017443287
"57","200","5","200",0.5,0.0533333333333333,0.528169014084507,523,208.118388994636,769.70953907728,767.645864316168,776.354978563659,246.70953907728,244.645864316168,253.354978563659,282.599180564817,38.5911500826441,36.5274753215321,45.2365895690232,74.4807915701808
"58","200","5","200",0.52,0.0666666666666667,0.557142857142857,445,226.308865498902,677.741792588718,666.710520297402,697.258739042232,232.741792588718,221.710520297402,252.258739042232,273.581520897453,6.43292708981571,-4.59834520149971,25.9498735433295,47.2726553985507
"59","200","5","200",0.52,0.0533333333333333,0.549295774647887,379,235.213784459638,622.160386023649,610.083350926137,633.754476213406,243.160386023649,231.083350926137,254.754476213406,280.048088050538,7.94660156401102,-4.13043353350093,19.5406917537679,44.8343035908999
"60","200","5","200",0.54,0.0333333333333333,0.558620689655172,353,241.277979040148,527.092351921562,520.627737007947,532.569976498977,174.092351921562,167.627737007947,179.569976498977,189.88884809872,-67.1856271185858,-73.6502420322008,-61.7080025411702,-51.3891309414274
"61","200","5","200",0.48,0.04,0.5,495,205.838855750832,708.03789709073,704.692320954576,712.649816409287,213.03789709073,209.692320954576,217.649816409287,258.771100192117,7.19904133989806,3.85346520374438,11.810960658455,52.9322444412849
"62","200","5","200",0.54,0.0600000000000001,0.574468085106383,347,255.925378451909,626.161007143426,618.688959093555,654.529671426076,279.161007143426,271.688959093555,307.529671426076,301.020981962797,23.2356286915171,15.7635806416465,51.604292974167,45.0956035108886
"63","200","5","200",0.48,0.0466666666666666,0.503496503496503,553,217.631610884423,734.577277522976,730.198802015062,743.739808236546,181.577277522976,177.198802015062,190.739808236546,240.670232892975,-36.054333361447,-40.4328088693605,-26.8918026478772,23.0386220085522
"64","200","5","200",0.5,0.0466666666666666,0.524475524475524,593,221.993065834647,750.606121810806,743.689273662859,758.562603885628,157.606121810806,150.689273662859,165.562603885628,188.470217605536,-64.3869440238417,-71.3037921717882,-56.4304619490192,-33.5228482291114
"65","200","5","200",0.54,0.0333333333333333,0.558620689655172,465,230.422185986662,712.364551096436,694.847193340265,716.441969455477,247.364551096436,229.847193340265,251.441969455477,256.552392475486,16.9423651097745,-0.574992646396595,21.0197834688148,26.1302064888243
"66","200","5","200",0.48,0.0466666666666666,0.503496503496503,465,199.262687799,614.472484403043,608.704038845707,617.694056075532,149.472484403043,143.704038845707,152.694056075532,197.603081009911,-49.790203395957,-55.5586489532928,-46.5686317234677,-1.65960678908868
"67","200","5","200",0.5,0.0466666666666666,0.524475524475524,529,251.867138772655,729.371939553901,719.65230905241,742.386236182364,200.371939553901,190.65230905241,213.386236182364,247.476365265649,-51.4951992187545,-61.2148297202454,-38.4809025902915,-4.39077350700566
"68","200","5","200",0.54,0.0466666666666666,0.566433566433566,385,230.444178666887,614.439479460539,606.161742776944,641.499357490737,229.439479460539,221.161742776944,256.499357490737,246.455634944745,-1.00469920634751,-9.2824358899426,26.0551788238502,16.0114562778587
"69","200","5","200",0.52,0.0466666666666666,0.545454545454545,399,194.490711646176,604.10443105326,583.888513841691,614.181986553037,205.10443105326,184.888513841691,215.181986553037,236.279324865147,10.6137194070836,-9.6021978044846,20.6912749068611,41.7886132189711
"70","200","5","200",0.52,0.0533333333333333,0.549295774647887,433,188.767002232652,648.859124268056,633.979469602903,656.600611812729,215.859124268056,200.979469602903,223.600611812729,258.209110668568,27.0921220354039,12.2124673702507,34.8336095800773,69.4421084359155
"71","200","5","200",0.52,0.0533333333333333,0.549295774647887,451,191.858397569208,628.499476652145,609.285087329884,637.805266308391,177.499476652145,158.285087329884,186.805266308391,197.234831612047,-14.3589209170632,-33.5733102393243,-5.05313126081768,5.37643404283898
"72","200","5","200",0.52,0.04,0.541666666666667,507,219.917550731672,746.599364631725,732.317299988865,756.629343431516,239.599364631725,225.317299988865,249.629343431516,275.922450649876,19.6818139000526,5.3997492571923,29.7117926998434,56.0048999182039
"73","200","5","200",0.48,0.0466666666666666,0.503496503496503,581,203.447196347702,684.402649647454,680.417676561256,687.170231261388,103.402649647454,99.4176765612563,106.170231261388,152.18534091402,-100.044546700248,-104.029519786446,-97.2769650863146,-51.2618554336819
"74","200","5","200",0.5,0.0533333333333333,0.528169014084507,555,258.739981846253,755.669683939773,733.474239798264,773.761848309928,200.669683939773,178.474239798264,218.761848309928,250.336784993307,-58.0702979064798,-80.2657420479889,-39.978133536325,-8.40319685294628
"75","200","5","200",0.5,0.0533333333333333,0.528169014084507,419,257.86558315149,719.304124725123,707.484188815833,724.626745548647,300.304124725123,288.484188815833,305.626745548647,335.340935504472,42.4385415736324,30.6186056643421,47.761162397157,77.4753523529813
"76","200","5","200",0.5,0.0333333333333333,0.517241379310345,445,229.686152492906,625.408279123145,618.604763807697,632.795858396234,180.408279123145,173.604763807697,187.795858396234,212.203806974323,-49.2778733697617,-56.0813886852098,-41.8902940966725,-17.4823455185837
"77","200","5","200",0.54,0.0533333333333333,0.570422535211268,421,262.326898520078,684.1448839268,659.333548416879,702.928108076982,263.1448839268,238.333548416879,281.928108076982,286.146563482118,0.817985406721505,-23.9933501031991,19.6012095569037,23.8196649620403
"78","200","5","200",0.52,0.0533333333333333,0.549295774647887,347,213.230720499173,587.150380900719,566.144520725578,596.374266987688,240.150380900719,219.144520725578,249.374266987688,270.537802181171,26.9196604015464,5.91380022640499,36.143546488515,57.3070816819979
"79","200","5","200",0.54,0.0600000000000001,0.574468085106383,329,200.54039542275,559.259594775249,549.672450377053,589.056188200173,230.259594775249,220.672450377053,260.056188200173,259.721802484179,29.7191993524995,20.1320549543033,59.515792777423,59.1814070614292
"80","200","5","200",0.48,0.0333333333333333,0.496551724137931,479,243.761686836684,621.366417553347,612.849059765043,631.652584227155,142.366417553347,133.849059765043,152.652584227155,188.445374038084,-101.395269283337,-109.912627071642,-91.1091026095297,-55.3163127986004
"81","200","5","200",0.52,0.0466666666666666,0.545454545454545,457,178.812698269449,611.066449288189,601.594808553952,627.05098428054,154.066449288189,144.594808553952,170.05098428054,172.416548223911,-24.74624898126,-34.2178897154974,-8.7617139889087,-6.39615004553787
"82","200","5","200",0.52,0.0333333333333333,0.537931034482759,377,242.505034019181,628.100996061218,615.825672132694,640.350646295581,251.100996061218,238.825672132694,263.350646295581,257.893494864027,8.59596204203697,-3.67936188648784,20.8456122764,15.3884608448456
"83","200","5","200",0.52,0.0600000000000001,0.553191489361702,411,270.573063215866,696.014594651028,682.776243439699,712.700609639442,285.014594651028,271.776243439699,301.700609639442,311.851093867234,14.4415314351616,1.20318022383265,31.1275464235761,41.2780306513674
"84","200","5","200",0.48,0.0533333333333333,0.507042253521127,549,219.78511937454,786.105893867713,781.696041169788,797.457928135027,237.105893867713,232.696041169788,248.457928135027,278.612556171808,17.3207744931734,12.9109217952478,28.6728087604867,58.8274367972686
"85","200","5","200",0.5,0.0600000000000001,0.531914893617021,463,239.250459767175,643.242608294689,630.18204034827,657.866697749207,180.242608294689,167.18204034827,194.866697749207,230.74603179616,-59.0078514724862,-72.0684194189048,-44.3837620179687,-8.50442797101573
"86","200","5","200",0.52,0.0666666666666667,0.557142857142857,365,234.332768792115,590.91962339752,567.986516840749,622.533181324081,225.91962339752,202.986516840749,257.533181324081,260.193431624849,-8.41314539459515,-31.3462519513659,23.2004125319658,25.8606628327346
"87","200","5","200",0.52,0.04,0.541666666666667,429,268.298306841231,674.295123552433,658.459137402157,686.529932408492,245.295123552433,229.459137402157,257.529932408492,266.519023078903,-23.0031832887981,-38.8391694390737,-10.7683744327397,-1.77928376232848
"88","200","5","200",0.54,0.02,0.551020408163265,425,286.721081567382,639.292080665894,637.124008714281,641.571613210895,214.292080665894,212.124008714281,216.571613210895,253.510717016321,-72.4290009014881,-74.5970728531012,-70.1494683564868,-33.2103645510606
"89","200","5","200",0.5,0.04,0.520833333333333,447,209.049402012903,608.448830638377,602.406240351743,614.816515160541,161.448830638377,155.406240351743,167.816515160541,210.709834554767,-47.6005713745257,-53.6431616611596,-41.2328868523613,1.66043254186462
