"","nsubjects","ntrials","tau","pmiss","standard_X2.5.","standard_X50.","standard_X97.5.","respOnly_X2.5.","respOnly_X50.","respOnly_X97.5.","prespAdj_X2.5.","prespAdj_X50.","prespAdj_X97.5.","mean_X2.5.","mean_X50.","mean_X97.5."
"277","128","200","200","0",-16,-11,-7,-18,-12,-8,-15,-9,-5,25,31,36
"278","128","200","200","5",-20,-15,-9,-31,-26,-21,-9,-3,4,13,18,22
"279","128","200","200","10",-19,-13,-8,-44,-39,-32,12,18,25,1,7,12
"280","128","200","200","15",-27,-19,-10,-66,-59,-51,33,41,52,-18,-12,-6
"281","128","400","1","0",-2,-1,0,-2,-1,0,-2,-1,0,-3,-2,0
"282","128","400","1","5",-5,-3,-2,-8,-6,-5,-1,1,2,-8,-6,-5
"283","128","400","1","10",-7,-6,-4,-14,-13,-11,1,2,4,-14,-13,-12
"284","128","400","1","15",-11,-9,-7,-22,-20,-18,3,5,7,-22,-20,-19
"285","128","400","50","0",-6,-4,-2,-6,-4,-2,-6,-4,-2,0,2,3
"286","128","400","50","5",-8,-6,-5,-13,-11,-9,-4,-2,0,-7,-5,-3
"287","128","400","50","10",-10,-8,-6,-19,-17,-16,1,3,5,-13,-11,-10
"288","128","400","50","15",-14,-11,-9,-28,-26,-24,5,8,11,-22,-20,-18
"289","128","400","100","0",-10,-8,-6,-10,-8,-6,-10,-8,-6,9,12,14
"290","128","400","100","5",-13,-11,-8,-19,-17,-14,-6,-4,-1,1,3,6
"291","128","400","100","10",-15,-12,-9,-28,-25,-23,2,5,8,-7,-4,-2
"292","128","400","100","15",-18,-15,-11,-40,-36,-32,12,16,20,-19,-16,-12
"293","128","400","150","0",-14,-12,-8,-14,-12,-8,-14,-11,-8,20,23,26
"294","128","400","150","5",-16,-12,-9,-24,-21,-17,-6,-3,1,12,15,18
"295","128","400","150","10",-19,-15,-12,-37,-34,-30,4,8,12,-1,2,5
"296","128","400","150","15",-22,-18,-15,-51,-47,-44,21,27,31,-15,-11,-8
"297","128","400","200","0",-17,-13,-9,-18,-14,-10,-15,-11,-7,29,32,35
"298","128","400","200","5",-19,-15,-11,-30,-26,-22,-7,-2,1,16,21,24
"299","128","400","200","10",-19,-15,-11,-43,-39,-35,11,15,20,4,9,13
"300","128","400","200","15",-22,-17,-12,-61,-56,-51,35,42,48,-13,-8,-4
"301","128","800","1","0",-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-1
"302","128","800","1","5",-4,-3,-2,-8,-6,-5,-1,0,2,-8,-7,-6
"303","128","800","1","10",-6,-5,-4,-13,-12,-11,2,3,4,-13,-12,-11
"304","128","800","1","15",-10,-9,-8,-22,-20,-19,3,5,6,-22,-20,-19
"305","128","800","50","0",-5,-3,-3,-5,-3,-3,-5,-3,-3,1,3,3
"306","128","800","50","5",-7,-6,-4,-11,-10,-9,-2,-1,0,-5,-4,-3
"307","128","800","50","10",-10,-9,-7,-19,-18,-16,0,2,4,-13,-12,-10
"308","128","800","50","15",-14,-12,-11,-28,-26,-25,6,7,9,-22,-20,-19
"309","128","800","100","0",-9,-8,-6,-9,-8,-6,-9,-8,-6,11,13,14
"310","128","800","100","5",-12,-10,-8,-18,-16,-14,-5,-3,-1,3,4,6
"311","128","800","100","10",-15,-13,-11,-27,-26,-24,1,3,5,-7,-5,-3
"312","128","800","100","15",-19,-17,-15,-40,-38,-36,11,13,15,-19,-17,-16
"313","128","800","150","0",-13,-11,-9,-13,-11,-9,-13,-11,-9,22,24,27
"314","128","800","150","5",-15,-13,-11,-23,-21,-19,-6,-4,-2,13,15,17
"315","128","800","150","10",-19,-16,-14,-37,-34,-32,3,7,9,0,3,5
"316","128","800","150","15",-21,-18,-15,-51,-47,-45,23,26,30,-14,-11,-8
"317","128","800","200","0",-16,-13,-10,-17,-14,-12,-14,-11,-9,31,33,36
"318","128","800","200","5",-16,-14,-10,-27,-24,-21,-4,-1,2,21,24,26
"319","128","800","200","10",-21,-17,-14,-44,-40,-38,8,13,16,5,8,11
"320","128","800","200","15",-22,-19,-16,-60,-58,-55,35,39,43,-12,-9,-6
