"","nsubjects","ntrials","tau","pmiss","standard_X2.5.","standard_X50.","standard_X97.5.","respOnly_X2.5.","respOnly_X50.","respOnly_X97.5.","prespAdj_X2.5.","prespAdj_X50.","prespAdj_X97.5.","mean_X2.5.","mean_X50.","mean_X97.5."
"185","64","200","50","0",-8,-4,-1,-8,-4,-1,-8,-4,-1,-3,1,4
"186","64","200","50","5",-10,-6,-2,-14,-10,-6,-5,-1,3,-8,-5,-1
"187","64","200","50","10",-12,-8,-4,-21,-17,-13,-1,3,7,-15,-12,-8
"188","64","200","50","15",-15,-11,-6,-30,-26,-21,4,9,15,-24,-20,-15
"189","64","200","100","0",-12,-7,-3,-12,-7,-3,-12,-7,-3,7,11,16
"190","64","200","100","5",-15,-10,-4,-21,-16,-11,-9,-3,3,-2,3,9
"191","64","200","100","10",-20,-13,-6,-33,-26,-20,-5,3,11,-14,-7,-1
"192","64","200","100","15",-21,-15,-9,-42,-36,-31,11,18,25,-22,-16,-10
"193","64","200","150","0",-17,-9,-4,-17,-10,-4,-17,-9,-4,15,23,29
"194","64","200","150","5",-21,-14,-7,-29,-22,-16,-11,-4,3,5,11,18
"195","64","200","150","10",-26,-16,-8,-44,-34,-27,-4,8,17,-9,0,8
"196","64","200","150","15",-24,-17,-8,-53,-46,-38,20,29,40,-18,-12,-3
"197","64","200","200","0",-17,-11,-5,-18,-12,-7,-16,-9,-4,24,31,36
"198","64","200","200","5",-23,-14,-5,-35,-25,-18,-12,-2,7,11,19,25
"199","64","200","200","10",-23,-16,-6,-48,-41,-30,8,16,27,-3,4,13
"200","64","200","200","15",-32,-20,-9,-70,-58,-49,24,41,52,-23,-13,-3
"201","64","400","1","0",-3,-1,1,-3,-1,1,-3,-1,1,-4,-2,0
"202","64","400","1","5",-5,-3,-1,-9,-6,-4,-2,1,3,-9,-7,-5
"203","64","400","1","10",-8,-6,-3,-15,-13,-10,0,2,5,-15,-13,-11
"204","64","400","1","15",-11,-9,-6,-22,-20,-17,3,5,9,-23,-20,-18
"205","64","400","50","0",-6,-4,-2,-6,-4,-2,-6,-4,-2,-1,2,4
"206","64","400","50","5",-8,-7,-4,-13,-11,-8,-4,-2,0,-7,-5,-3
"207","64","400","50","10",-11,-8,-6,-21,-17,-15,0,3,5,-14,-11,-9
